time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1784298582540000000,0.167,45,1.5,18.489999771118164,100,0,0,74,1.2438357,41.1178752
1784298589522000000,7.148999755859375,45,1.5,13.462382316589355,98.4000015258789,0.8125989437103271,31.053363800048828,74,1.2441673,41.1182901
1784298594531000000,12.158,45,1.5,13.462382316589355,105.91300201416016,2.5572006702423096,31.053363800048828,74,1.2442644,41.1184115
1784298601458000000,19.084999755859375,45,1.5,11.324687957763672,72.9000015258789,1.2826992273330688,25.427274703979492,74,1.2442908,41.1184644
1784298607420000000,25.047,45,1.5,12.377603530883789,77.5999984741211,0.24627260863780975,17.646814346313477,74,1.2442887,41.1184661
1784298612433000000,30.06,0,1.5,12.377603530883789,85.11900329589844,0.028299182653427124,0,74,1.2442852,41.1184617
1784298619411000000,37.038,0,1.5,2.956939697265625,46.96799850463867,0.04694843292236328,0,74,1.2442858,41.1184582
1784298623570000000,41.19699975585937,0,0,1.7808442115783691,34.284000396728516,0,0,74,1.2442846,41.1184708
1784298630424000000,48.051,0,0,24.340744018554688,22.18600082397461,0,0,74.4000015258789,1.2442555,41.1185261
1784298635713307100,53.34030712890625,0,3.299999952316284,24.39363670349121,176.10000610351562,0,0,74.4000015258789,1.2441333,41.1186467
1784298636484000000,54.111,0,0,9.158690452575684,178.41200256347656,0,0,90.5999984741211,1.2441333,41.1186467
1784298636713308000,54.34030786132813,42.599998474121094,2.200000047683716,9.160983085632324,61.900001525878906,1.9477088451385498,310,90.5999984741211,1.2441117,41.118655
1784298637713309000,55.340308837890625,36,1.600000023841858,9.17098331451416,46.900001525878906,1.753658652305603,321,90.5999984741211,1.2441117,41.118655
1784298638713309700,56.34030981445313,42.70000076293945,1.7999999523162842,9.180983543395996,38.599998474121094,1.5843149423599243,324,90.5999984741211,1.2441117,41.118655
1784298639713310500,57.340310546875,42.099998474121094,1.899999976158142,9.190983772277832,33.224998474121094,1.6337283849716187,353,90.5999984741211,1.2441117,41.118655
1784298641609312000,59.23631201171875,0,1.7999999523162842,9.209943771362305,29.579999923706055,0,0,90.5999984741211,1.2441117,41.118655
1784298642568000000,60.195,0,0,2.444896936416626,27.868999481201172,0,0,74.30000305175781,1.2441117,41.118655
1784298642609313000,60.23631298828125,0,1.899999976158142,2.445310115814209,25.77400016784668,0,0,74.30000305175781,1.244035,41.118745
1784298643609313800,61.23631372070312,16.600000381469727,1.2999999523162842,2.455310106277466,22.923999786376953,2.9493582248687744,58,74.30000305175781,1.2440717,41.1187533
1784298644609314600,62.236314453125,17.799999237060547,1.2999999523162842,2.4653100967407227,21.55699920654297,2.7439842224121094,67,74.30000305175781,1.24411,41.1187583
1784298645609315300,63.2363154296875,30.200000762939453,1.7000000476837158,2.4753100872039795,21.006999969482422,2.343015670776367,59,74.30000305175781,1.2441433,41.1187667
1784298646609316000,64.23631616210938,56.900001525878906,1.899999976158142,2.4853100776672363,20.840999603271484,1.2842319011688232,45,74.30000305175781,1.2441633,41.1187733
1784298647609316900,65.23631689453126,94.30000305175781,1.2000000476837158,2.495310068130493,14.180000305175781,0.4848683476448059,59,74.30000305175781,1.2441783,41.1187733
1784298648577000000,66.204,0,0,1.9398539066314697,20.68400001525879,0,0,74.4000015258789,1.2441783,41.1187733
1784298648609317600,66.23631762695312,77.69999694824219,1,1.940177083015442,20.500999450683594,0.46530887484550476,60,74.4000015258789,1.2441783,41.1187733
1784298649609318400,67.236318359375,93.0999984741211,0.800000011920929,1.9501770734786987,20.500999450683594,0.335598886013031,50,74.4000015258789,1.2441783,41.1187733
1784298650609319400,68.2363193359375,100.69999694824219,0.699999988079071,1.9601770639419556,20.384000778198242,0.2815530598163605,45,74.4000015258789,1.2441783,41.1187733
1784298651609320200,69.2363203125,0,0.699999988079071,1.9701770544052124,20.201000213623047,0,0,74.4000015258789,1.2441783,41.1187733
1784298652609321000,70.23632104492188,0,0.699999988079071,1.9801771640777588,19.716999053955078,0,0,74.4000015258789,1.2441783,41.1187733
1784298653609321700,71.23632177734375,0,0.699999988079071,1.9901771545410156,12.5,0,0,74.4000015258789,1.2441783,41.1187733
1784298654570000000,72.19699975585938,0,0,1.4780751466751099,18.67099952697754,0,0,74.69999694824219,1.2441783,41.1187733
1784298654609322500,72.23632250976563,0,0.699999988079071,1.478468418121338,18.23699951171875,0,0,74.69999694824219,1.2441783,41.1187733
1784298655609323300,73.2363232421875,0,0.699999988079071,1.4884684085845947,17.836999893188477,0,0,74.69999694824219,1.2441783,41.1187733
1784298656609324300,74.23632421875,0,0.699999988079071,1.4984683990478516,17.42099952697754,0,0,74.69999694824219,1.2441783,41.1187733
1784298657609325000,75.23632495117188,0,0.6000000238418579,1.5084683895111084,17.20400047302246,0,0,74.69999694824219,1.24422,41.118765
1784298658609325800,76.23632592773437,179.89999389648438,0.6000000238418579,1.5184683799743652,17.070999145507812,0.158534437417984,314,74.69999694824219,1.24422,41.118765
1784298659609326600,77.23632666015625,179.89999389648438,0.6000000238418579,1.528468370437622,10.399999618530273,0.12971000373363495,314,74.69999694824219,1.24422,41.1187633
1784298660605000000,78.232,0,0,2.1255860328674316,17.020999908447266,0,0,74.80000305175781,1.24422,41.1187633
1784298660609327400,78.23632739257812,179.89999389648438,0.6000000238418579,2.125629425048828,16.97100067138672,0.11118000000715256,314,74.80000305175781,1.24422,41.1187633
1784298661609328000,79.236328125,0,0.699999988079071,2.135629415512085,16.937000274658203,0.09573833644390106,0,74.80000305175781,1.2442217,41.1187633
1784298662609329200,80.2363291015625,124.5999984741211,0.800000011920929,2.145629405975342,16.95400047302246,0.11118000000715256,314,74.80000305175781,1.2442283,41.1187633
1784298663609330000,81.23632983398437,82.9000015258789,2,2.1556293964385986,17.086999893188477,0.19456499814987183,80,74.80000305175781,1.24424,41.118765
1784298664609330700,82.23633056640625,28.5,1.100000023841858,2.1656293869018555,17.253999710083008,0.3319958448410034,77,74.80000305175781,1.244265,41.1187683
1784298665609331500,83.23633154296876,21.899999618530273,1.100000023841858,2.495657444000244,11.100000381469727,0.5265608429908752,77,74.9000015258789,1.2442933,41.1187733
1784298666609332200,84.23633227539062,18.399999618530273,1.100000023841858,2.505657434463501,11.539999961853027,0.7520091533660889,77,74.9000015258789,1.244325,41.1187783
1784298667609333000,85.2363330078125,9.100000381469727,0.8999999761581421,2.515657424926758,11.920000076293945,1.1632722616195679,78,74.9000015258789,1.2443733,41.1187867
1784298668609333800,86.23633374023437,8.899999618530273,1.399999976158142,2.5256574153900146,12.239999771118164,1.6929214000701904,73,74.9000015258789,1.2444417,41.1188017
1784298669609334800,87.23633471679688,10.100000381469727,1.600000023841858,2.5356574058532715,12.460000038146973,6.37020206451416,75,74.9000015258789,1.2445167,41.118815
1784298670609335600,88.23633544921876,13,1.7999999523162842,2.5456573963165283,12.520000457763672,6.340863227844238,82,74.9000015258789,1.2445983,41.118825
1784298671719000000,89.346,0,0,5.332795143127441,21.476999282836914,0,0,74.5999984741211,1.2445983,41.118825
1784298672609337000,90.23633715820313,12.699999809265137,1.7000000476837158,5.34169864654541,21.73699951171875,6.234315395355225,96,74.5999984741211,1.2447533,41.11882
