time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1784098587928000000,1.205,45,1.5,1,21.159000396728516,0,0,84.4000015258789,1.5190736,41.1922207
1784098590480464100,3.757464111328125,180,1.5,1.025524616241455,28.687000274658203,0.25161173939704895,207.66525268554688,84.4000015258789,1.5190591,41.1921999
1784098591704586200,4.981586181640625,180,1.5,1.035524606704712,31.19700050354004,0.36005720496177673,207.66525268554688,84.4000015258789,1.519053,41.1921912
1784098592914768600,6.1917685546875,180,1.0111463069915771,1.0468246936798096,31.52899932861328,0.8143464922904968,98.86203002929688,84.4000015258789,1.5190662,41.1921858
1784098593923255600,7.200255615234375,180,1.00627863407135,1.0568246841430664,33.606998443603516,0.8554258942604065,91.07185363769531,84.4000015258789,1.51906,41.1921809
1784098593954000000,7.230999755859375,180,0.8536716103553772,3.4850261211395264,29.886999130249023,0.659474790096283,90.3928451538086,84.80000305175781,1.51904,41.1921733
1784098594830893800,8.107893798828124,180,0.8530782461166382,3.491590738296509,27.466999053955078,0.6535427570343018,90.09088134765625,84.80000305175781,1.5190349,41.1921711
1784098595839380000,9.1163798828125,180,0.5160822868347168,3.5015907287597656,23.89699935913086,0.37938666343688965,90.01258087158203,84.80000305175781,1.5190334,41.1921705
1784098596747016400,10.024016357421875,180,0.4280848503112793,3.5115907192230225,20.238000869750977,0.3762595057487488,89.9971923828125,84.80000305175781,1.519031,41.192171
1784098597856349000,11.133348876953125,180,0.3568093478679657,3.5215907096862793,17.11199951171875,0.3432876169681549,89.99437713623047,84.80000305175781,1.5190283,41.1921721
1784098598864833000,12.1418330078125,180,0.3536861836910248,3.531590700149536,14.439000129699707,0.33404603600502014,89.99534606933594,84.80000305175781,1.5190256,41.1921731
1784098599873316000,13.150316162109375,180,0.3423961400985718,3.541590929031372,13.866999626159668,0.31329768896102905,89.99604797363281,84.80000305175781,1.5190232,41.1921741
1784098600780951000,14.057950927734375,180,0.33323222398757935,3.551590919494629,13.458999633789062,0.3178682029247284,89.99651336669922,84.80000305175781,1.5190212,41.1921751
