time_us,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt
0,0.1170000061392784,4.180950164794922,8.746050834655762,-0.1282874941825866,0.0621500015258789,-0.0301124993711709,,,
10000,0.067050002515316,4.1770501136779785,8.779950141906738,-0.1219625025987625,0.0897874981164932,-0.0119624994695186,,,
20000,0.0829500034451484,4.150050163269043,8.73900032043457,-0.1016125008463859,0.1260875016450882,0.0114124994724988,,,
30000,0.1840500086545944,4.122000217437744,8.655000686645508,-0.0654499977827072,0.1759999990463256,0.0284624993801116,,,
40000,0.3010500073432922,4.1170501708984375,8.526000022888184,-0.0175999999046325,0.2484624981880188,0.0336874984204769,,,
50000,0.426000028848648,4.168950080871582,8.21505069732666,0.0239249989390373,0.3506250083446502,0.0284624993801116,,,
60000,0.4069500267505646,4.258049964904785,7.948950290679932,0.0376750007271766,0.4952749907970428,0.0208999998867511,,,
70000,0.1600500047206878,4.300950050354004,7.980000495910644,0.0441375002264976,0.645425021648407,0.0273624993860721,,,
81000,-0.0160500016063451,4.308000087738037,8.104949951171875,0.0760374963283538,0.7581750154495239,0.0433125011622905,,,
91000,-0.0949500054121017,4.3969502449035645,7.873050212860107,0.1229249984025955,0.860337495803833,0.0581624992191791,,,
101000,-0.1360500007867813,4.603050231933594,7.573050498962402,0.1483625024557113,1.0029250383377075,0.079475000500679,,,
111000,0.032999999821186,4.693950176239014,7.903950214385986,0.1559250056743621,1.112512469291687,0.1252624988555908,,,
121000,0.3919500112533569,4.52400016784668,8.383049964904785,0.1803999990224838,1.0987625122070312,0.1901624947786331,,,
131000,0.7270500063896179,4.371000289916992,8.679000854492188,0.2111999988555908,1.0316624641418457,0.2316875010728836,,,
141000,1.0270500183105469,4.210050106048584,8.208000183105469,0.2495625019073486,1.094499945640564,0.2604250013828277,,,
151000,1.4310001134872437,3.9160501956939697,7.659000396728516,0.2985124886035919,1.3967249393463137,0.2987875044345855,,,
161000,1.6990500688552856,3.4459502696990967,7.855950355529785,0.2516250014305115,1.6616874933242798,0.2774749994277954,,,
171000,1.443000078201294,3.286050081253052,7.92495059967041,0.1090374961495399,1.7936874628067017,0.1603250056505203,,,
181000,0.7699500322341919,3.3169500827789307,8.112000465393066,0.0441375002264976,1.9234875440597532,0.0199375003576278,,,
191000,0.0400500036776065,3.181050062179565,9.019050598144531,0.1771000027656555,1.9778000116348269,-0.082225002348423,,,
202000,-0.4380000233650207,3.3169500827789307,9.76395034790039,0.5293750166893005,1.9054750204086304,-0.1183874979615211,,,
212000,-0.6199500560760498,3.609000205993652,9.559950828552246,0.9732249975204468,1.8287500143051147,-0.1183874979615211,,,
222000,-0.6199500560760498,3.7380001544952393,8.722050666809082,1.3552000522613523,1.9351749420166016,-0.1376374959945678,,,
232000,-0.6220500469207764,4.147950172424316,7.558950424194336,1.587299942970276,2.244962453842163,-0.166374996304512,,,
242000,-1.0459500551223757,5.5320000648498535,7.068000316619873,1.521299958229065,2.588712453842163,-0.1109625026583671,,,
252000,-2.1469500064849854,7.629000186920166,8.553000450134277,1.092437505722046,2.53439998626709,0.1113749966025352,,,
262000,-3.201000213623047,8.842950820922852,10.61400032043457,0.507099986076355,1.8713749647140503,0.4499000012874603,,,
272000,-3.3829500675201416,7.507050514221191,10.693050384521484,0.1238875016570091,1.1349250078201294,0.6861249804496765,,,
282000,-2.9730000495910645,5.091000080108643,10.092000007629396,0.1260875016450882,0.8912749886512756,0.6499624848365784,,,
292000,-2.616000175476074,4.23900032043457,9.81705093383789,0.3602499961853027,0.860337495803833,0.467912495136261,,,
302000,-2.430000066757202,4.687050342559815,8.73705005645752,0.5486249923706055,0.7485499978065491,0.3423750102519989,,,
312000,-2.080049991607666,4.869000434875488,7.579950332641602,0.5262125134468079,0.6219124794006348,0.2860000133514404,,,
323000,-1.64205002784729,4.516950130462647,7.141950130462647,0.3218874931335449,0.4943124949932098,0.1890625059604644,,,
333000,-1.4479501247406006,4.404000282287598,7.398000240325928,0.06751249730587,0.3591499924659729,0.0358874984085559,,,
343000,-1.647000074386597,4.8420000076293945,8.047050476074219,-0.1303499937057495,0.1557874977588653,-0.1088999956846237,,,
353000,-2.025000095367432,5.307000160217285,8.620050430297852,-0.2261874973773956,-0.0697124972939491,-0.2216500043869018,,,
363000,-2.251950025558472,5.424000263214111,9.019050598144531,-0.2367749959230423,-0.2443374991416931,-0.3078624904155731,,,
373000,-2.3460001945495605,5.356950283050537,9.127050399780272,-0.2155999988317489,-0.3348124921321869,-0.3610749840736389,,,
383000,-2.4180002212524414,5.331000328063965,8.683950424194336,-0.2123000025749206,-0.310337483882904,-0.3675374984741211,,,
393000,-2.430000066757202,5.218050479888916,7.954050540924072,-0.2421374917030334,-0.1432749927043914,-0.3227125108242035,,,
403000,-2.371950149536133,4.948050022125244,7.690950393676758,-0.3007124960422516,0.0578874982893466,-0.2514874935150146,,,
413000,-2.2980000972747803,4.629000186920166,7.825050354003906,-0.3826625049114227,0.1111000031232833,-0.1929125040769577,,,
423000,-2.275950193405152,4.40595006942749,7.726950168609619,-0.4751999974250793,0.0376750007271766,-0.1610125005245208,,,
433000,-2.260050058364868,4.296000003814697,7.293000221252441,-0.5475249886512756,0.0120999999344348,-0.1513874977827072,,,
444000,-2.098950147628784,4.023000240325928,7.209000110626221,-0.5838249921798706,0.0940499976277351,-0.1695374995470047,,,
454000,-1.9030500650405884,3.78600025177002,7.509000301361084,-0.5773624777793884,0.1867250055074691,-0.2162874937057495,,,
464000,-1.8430501222610476,4.011000156402588,7.759950160980225,-0.5092999935150146,0.233474999666214,-0.2961750030517578,,,
474000,-1.7830500602722168,4.372950077056885,7.8510003089904785,-0.4124999940395355,0.1782000064849853,-0.4302375018596649,,,
484000,-1.5799500942230225,4.5259504318237305,7.675950527191162,-0.370974987745285,-0.016499999910593,-0.5972999930381775,,,
494000,-1.3759500980377195,4.501950263977051,7.24500036239624,-0.4475624859333038,-0.2293500006198883,-0.7187125086784363,,,
504000,-1.350000023841858,4.459050178527832,6.952950477600098,-0.607200026512146,-0.3240875005722046,-0.7559750080108643,,,
