Timestamp_ms,Escenario,Modo,Calidad,Satelites,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Rumbo,CrossTrack_m,AlongTrack_m,OdomFault,HealthScore,HealthMode,PowerState,ShutdownLatched,WaypointCount,BspBus,RadioDroppedPackets,Imu_Valid,Imu_Accel_X,Imu_Accel_Y,Imu_Accel_Z,Imu_Gyro_X,Imu_Gyro_Y,Imu_Gyro_Z,Gnss_Fix,Gnss_Lat,Gnss_Lon,Gnss_Alt,Gnss_Speed,Gnss_Course,Ekf_Active,Ekf_Outlier,Gnss_NIS,Gnss_Innov_N,Gnss_Innov_E,Gnss_Innov_D,Gnss_Accept_Count,Gnss_Reject_Count,Gnss_Update_Accepted,Ekf_Bias_Ax,Ekf_Bias_Ay,Ekf_Bias_Az,Ekf_Bias_Gx,Ekf_Bias_Gy,Ekf_Bias_Gz,Ekf_Att_Roll,Ekf_Att_Pitch,Ekf_Att_Yaw,Ekf_P_PosN,Ekf_P_PosE,Ekf_P_PosD,Ekf_P_VelN,Ekf_P_VelE,Ekf_P_VelD,Ekf_P_Roll,Ekf_P_Pitch,Ekf_P_Yaw,Ekf_P_BiasAx,Ekf_P_BiasAy,Ekf_P_BiasAz,Ekf_P_BiasGx,Ekf_P_BiasGy,Ekf_P_BiasGz,Desired_Heading,Desired_Speed,Desired_Climb,CrossTrack_Signed_m,Mission_State,Active_WP,Return_Home,Loop_us,Missed_Ticks,Max_Loop_us,Temperature_C
1000,CLEAN,GPS,0.850000,10,41.38740158,2.16877937,11.9570,-0.000001,15.000000,8.821434,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.025748,0.035939,9.796481,0.001782,0.000932,0.000296,1,41.38740158,2.16877937,11.9570,15.000000,90.0000,1,1,11.531868,0.002328,8.732891,0.059052,10,1,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.000535,0.016841,1.570702,0.783310,0.783310,0.801675,1.098562,1.098551,1.020882,0.101423,0.101423,0.182046,0.499928,0.499928,0.499932,0.100002,0.100002,0.100002,0.000000,0.000000,0.000000,0.0000,1,0,0,7,0,44,25.00
1100,CLEAN,GPS,0.850000,10,41.38740158,2.16879630,11.9649,-0.000001,15.000000,9.802434,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.037092,0.023776,9.809998,0.001871,0.000823,0.000324,1,41.38740158,2.16879630,11.9649,15.000000,90.0000,1,1,15.271975,0.002956,10.076893,0.051365,10,2,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.000629,0.016976,1.570718,0.805729,0.805729,0.820975,1.123965,1.123945,1.028070,0.104074,0.104074,0.183537,0.499928,0.499928,0.499932,0.100002,0.100002,0.100003,0.000000,0.000000,0.000000,0.0000,1,0,0,8,0,44,25.00
1200,CLEAN,GPS,0.850000,10,41.38740158,2.16881466,12.0335,-0.000001,15.000000,10.781264,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.033202,0.018923,9.788301,0.001937,0.000707,0.000352,1,41.38740158,2.16881466,12.0335,15.000000,90.0000,1,1,19.899990,0.003615,11.539541,-0.017109,10,3,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.000726,0.017104,1.570735,0.831581,0.831580,0.843022,1.151764,1.151733,1.035814,0.106894,0.106894,0.185151,0.499929,0.499929,0.499933,0.100002,0.100002,0.100003,0.000000,0.000000,0.000000,0.0000,1,0,0,8,0,44,25.00
1300,CLEAN,GPS,0.850000,10,41.38740158,2.16883183,12.0314,-0.000001,15.000000,11.763760,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.041640,0.022405,9.824951,0.001980,0.000585,0.000380,1,41.38740158,2.16883183,12.0314,15.000000,90.0000,1,1,24.694456,0.004309,12.902136,-0.014885,10,4,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.000826,0.017227,1.570754,0.860815,0.860814,0.867670,1.182085,1.182041,1.044100,0.109870,0.109869,0.186884,0.499929,0.499929,0.499933,0.100002,0.100002,0.100003,0.000000,0.000000,0.000000,0.0000,1,0,0,8,0,44,25.00
1400,CLEAN,GPS,0.850000,10,41.38740158,2.16885018,12.0003,-0.000001,15.000000,12.743732,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.031974,0.015723,9.799732,0.001999,0.000459,0.000408,1,41.38740158,2.16885018,12.0003,15.000000,90.0000,1,1,30.348127,0.005019,14.363498,0.016400,10,5,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.000926,0.017344,1.570774,0.893381,0.893379,0.894770,1.214781,1.214724,1.052917,0.112988,0.112988,0.188735,0.499930,0.499930,0.499934,0.100003,0.100003,0.100003,0.000000,0.000000,0.000000,0.0000,2,0,0,8,0,44,25.00
1500,CLEAN,GPS,0.850000,10,41.38740158,2.16886830,12.0119,-0.000001,15.000000,13.724228,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.040891,0.012255,9.804959,0.001994,0.000329,0.000435,1,41.38740158,2.16886830,12.0119,15.000000,90.0000,1,1,36.392220,0.005735,15.804321,0.004973,10,6,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.001026,0.017453,1.570796,0.929230,0.929227,0.924175,1.249924,1.249851,1.062252,0.116238,0.116237,0.190698,0.499930,0.499930,0.499934,0.100003,0.100003,0.100004,0.000000,0.000000,0.000000,0.0000,2,0,0,8,0,44,25.00
1600,CLEAN,GPS,0.850000,10,41.38740158,2.16888523,11.9920,-0.000001,15.000000,14.704485,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.052067,0.020607,9.802569,0.001964,0.000196,0.000462,1,41.38740158,2.16888523,11.9920,15.000000,90.0000,1,1,42.370926,0.006475,17.145061,0.025147,10,7,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.001125,0.017557,1.570819,0.968319,0.968314,0.955744,1.287491,1.287398,1.072091,0.119608,0.119608,0.192771,0.499931,0.499931,0.499935,0.100003,0.100003,0.100004,0.000000,0.000000,0.000000,0.0000,2,0,0,7,0,44,25.00
1700,CLEAN,GPS,0.850000,10,41.38740158,2.16890407,12.0069,-0.000001,15.000000,15.686059,90.0000,0.0000,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.047679,0.019286,9.815742,0.001911,0.000061,0.000488,1,41.38740158,2.16890407,12.0069,15.000000,90.0000,1,1,49.507034,0.007233,18.644157,0.010455,10,8,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.001221,0.017653,1.570843,1.010613,1.010605,0.989344,1.327528,1.327416,1.082421,0.123090,0.123089,0.194951,0.499931,0.499931,0.499935,0.100004,0.100004,0.100004,0.000000,0.000000,0.000000,0.0000,3,0,0,7,0,44,25.00
1800,CLEAN,GPS,0.850000,10,41.38740158,2.16892195,12.0039,-0.000001,15.000000,16.666939,90.0000,9.9583,0.0000,0,0,NOMINAL,0,0,4,0,0,1,0.053439,0.027087,9.808802,0.001835,-0.000074,0.000514,1,41.38740158,2.16892195,12.0039,15.000000,90.0000,1,1,56.571911,0.008027,20.063040,0.013569,10,9,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,0.001313,0.017743,1.570868,1.056087,1.056075,1.024852,1.369974,1.369839,1.093229,0.126673,0.126673,0.197233,0.499932,0.499932,0.499936,0.100004,0.100004,0.100004,0.676781,5.000000,1.199214,9.9583,3,0,0,14,0,44,25.00
1900,CLEAN,GPS,0.850000,10,41.38741302,2.16893244,12.1651,11.498990,9.237734,17.648853,38.7767,14.0361,20.2242,0,0,NOMINAL,0,0,4,0,0,1,-2.455988,0.018544,9.819153,0.001736,-0.000208,-8.939610,1,41.38741302,2.16893244,12.1651,14.750000,38.7767,1,1,60.557961,1.283203,20.870657,-0.147528,10,10,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.006301,0.016711,1.131049,1.104726,1.104710,1.062155,1.410915,1.410979,1.104379,0.142116,0.142115,0.199614,0.499932,0.499932,0.499936,0.100004,0.100004,0.100005,-1.052757,8.500000,1.170859,14.0361,3,1,0,8,0,44,25.00
