time,seconds_elapsed,z,y,x
1784098586808423400,0.08542333984375,-0.030112499371170998,0.062150001525878906,-0.12828749418258667
1784098586818508300,0.09550830078125,-0.011962499469518661,0.08978749811649323,-0.12196250259876251
1784098586828527600,0.105527587890625,0.011412499472498894,0.1260875016450882,-0.10161250084638596
1784098586838677800,0.115677734375,0.028462499380111694,0.17599999904632568,-0.06544999778270721
1784098586848762400,0.125762451171875,0.03368749842047691,0.2484624981880188,-0.01759999990463257
1784098586858770700,0.135770751953125,0.028462499380111694,0.35062500834465027,0.023924998939037323
1784098586868932000,0.14593212890625,0.020899999886751175,0.49527499079704285,0.037675000727176666
1784098586878912300,0.155912353515625,0.02736249938607216,0.645425021648407,0.04413750022649765
1784098586889101300,0.166101318359375,0.04331250116229057,0.7581750154495239,0.07603749632835388
1784098586899114800,0.17611474609375,0.05816249921917915,0.860337495803833,0.12292499840259552
1784098586909270800,0.186270751953125,0.07947500050067902,1.0029250383377075,0.14836250245571136
1784098586919256600,0.196256591796875,0.12526249885559082,1.112512469291687,0.15592500567436218
1784098586929327400,0.206327392578125,0.19016249477863312,1.0987625122070312,0.18039999902248383
1784098586939525000,0.216525146484375,0.2316875010728836,1.0316624641418457,0.21119999885559082
1784098586949530000,0.226530029296875,0.26042500138282776,1.094499945640564,0.24956250190734863
1784098586959601000,0.236600830078125,0.29878750443458557,1.3967249393463135,0.2985124886035919
1784098586969671700,0.246671630859375,0.2774749994277954,1.6616874933242798,0.2516250014305115
1784098586979742500,0.256742431640625,0.16032500565052032,1.7936874628067017,0.10903749614953995
1784098586989874200,0.266874267578125,0.01993750035762787,1.9234875440597534,0.04413750022649765
1784098586999945000,0.276945068359375,-0.082225002348423,1.9778000116348267,0.17710000276565552
1784098587010046500,0.28704638671875,-0.11838749796152115,1.9054750204086304,0.5293750166893005
1784098587020086800,0.297086669921875,-0.11838749796152115,1.8287500143051147,0.9732249975204468
1784098587030287600,0.30728759765625,-0.13763749599456787,1.9351749420166016,1.3552000522613525
1784098587040372200,0.317372314453125,-0.16637499630451202,2.244962453842163,1.5872999429702759
1784098587050360000,0.327360107421875,-0.11096250265836716,2.588712453842163,1.521299958229065
1784098587060430800,0.337430908203125,0.11137499660253525,2.53439998626709,1.092437505722046
1784098587070532400,0.347532470703125,0.4499000012874603,1.8713749647140503,0.507099986076355
1784098587080603100,0.35760302734375,0.6861249804496765,1.1349250078201294,0.12388750165700912
1784098587090734800,0.36773486328125,0.6499624848365784,0.8912749886512756,0.1260875016450882
1784098587100805600,0.3778056640625,0.467912495136261,0.860337495803833,0.36024999618530273
1784098587110876400,0.38787646484375,0.3423750102519989,0.7485499978065491,0.5486249923706055
1784098587120978000,0.39797802734375,0.28600001335144043,0.6219124794006348,0.5262125134468079
1784098587131048700,0.408048583984375,0.18906250596046448,0.49431249499320984,0.3218874931335449
1784098587141150000,0.41814990234375,0.035887498408555984,0.3591499924659729,0.06751249730587006
1784098587151190300,0.428190185546875,-0.10889999568462372,0.15578749775886536,-0.1303499937057495
