time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1784315972981128200,2.833128173828125,0,4.900000095367432,13.547613143920898,88.4000015258789,0,0,74.9000015258789,1.4282767,41.155775
1784315974610128100,4.462128173828125,11.100000381469727,2.5,13.563902854919434,66.30000305175781,8.37607479095459,66,74.9000015258789,1.4285217,41.1557633
1784315975610128000,5.4621279296875,9.699999809265137,2.200000047683716,3.4000000953674316,48.965999603271484,8.423943519592285,63,64.2,1.4286467,41.15579
1784315976610128000,6.4621279296875,5.900000095367432,1.600000023841858,3.5,40.150001525878906,8.597920417785645,38,63.3,1.4287117,41.1558517
1784315977610127400,7.46212744140625,8.899999618530273,2.200000047683716,3.5999999046325684,34.7599983215332,8.669466018676758,32,62.6,1.4287717,41.1559183
1784315978610127400,8.46212744140625,6.5,1.7000000476837158,3.5999999046325684,19.739999771118164,8.957711219787598,33,62.6,1.4288267,41.1559883
1784315979610127000,9.462127197265625,7.599999904632568,1.899999976158142,3.5999999046325684,18.649999618530273,9.463168144226074,38,62.2,1.4288933,41.156055
1784315980610126800,10.462126953125,8.899999618530273,2.299999952316284,3.5999999046325684,13.432999610900879,9.805458068847656,45,61.7,1.4289767,41.1561183
1784315981610126600,11.462126708984375,8.5,2.4000000953674316,3.5,13.182999610900879,10.57960033416748,50,61.1,1.4290733,41.1561783
1784315982610126300,12.462126220703125,3.200000047683716,1.2999999523162842,3.5,13.015999794006348,13.4512357711792,64,59.900000000000006,1.4292233,41.156225
1784315983610126300,13.462126220703125,2.0999999046325684,1,3.5,11.166000366210938,14.485827445983887,65,59.4,1.42938,41.1562783
1784315984610125800,14.462125732421875,2.299999952316284,1.100000023841858,3.5,9.300000190734863,15.269749641418457,64,58.9,1.42955,41.1563333
1784315985610125800,15.462125732421875,2.200000047683716,1,3.5,7.433000087738037,15.475638389587402,62,58.300000000000004,1.42972,41.156395
1784315986610125800,16.462125732421875,2.0999999046325684,1,3.4000000953674316,5.599999904632568,15.665056228637695,61,57.9,1.4298867,41.1564633
1784315987610125300,17.462125244140626,2.200000047683716,1.100000023841858,3.4000000953674316,3.7829999923706055,15.85601806640625,57,57.7,1.43005,41.1565383
1784315988610125300,18.462125244140626,2,1,3.4000000953674316,1.9830000400543213,15.987272262573242,55,57,1.43021,41.15662
1784315989610125000,19.462125,1.600000023841858,0.800000011920929,3.4000000953674316,1.9329999685287476,15.874032974243164,54,57,1.430375,41.1567017
1784315990610124800,20.462124755859374,1.7999999523162842,0.8999999761581421,3.4000000953674316,1.8660000562667847,15.695425033569336,52,57.2,1.4305333,41.1567883
1784315991610124500,21.46212451171875,1.7999999523162842,0.8999999761581421,3.4000000953674316,1.815999984741211,15.723734855651855,51,57.1,1.430685,41.1568767
1784315992610124300,22.462124267578126,1.7000000476837158,0.800000011920929,3.299999952316284,1.7660000324249268,15.315045356750488,50,56.7,1.4308333,41.1569667
