t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
0,0,1,-0.000001,25.000000,0.000000,90.000008,25.000004,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.047543,0.166282,0.166282,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1
10,0,1,-0.000001,24.999750,0.000000,90.000008,24.999754,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.024601,0.084539,0.084539,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2
20,0,1,-0.000001,24.999102,-0.000032,90.000008,24.999105,0.000001,-0.000064,-0.000001,0.000064,0.000064,0.016969,0.056438,0.056438,0.000000,0.000000,-0.000000,0.000004,0.000000,-0.000001,-0.000000,0.000004,0.000001,0.000000,3
30,0,1,-0.000001,24.997564,-0.000064,90.000008,24.997568,0.000001,-0.000150,-0.000001,0.000150,0.000150,0.013380,0.042185,0.042185,0.000000,0.000000,-0.000000,0.000006,0.000000,-0.000001,-0.000000,0.000006,0.000001,0.000000,4
40,0,1,-0.000001,24.994942,-0.000200,90.000008,24.994946,0.000001,-0.000464,-0.000001,0.000464,0.000464,0.011491,0.033567,0.033567,0.000001,0.000000,-0.000001,0.000016,0.000000,-0.000004,-0.000000,0.000016,0.000004,0.000000,5
50,0,1,-0.000001,24.991346,-0.000283,90.000008,24.991350,0.000001,-0.000744,-0.000001,0.000744,0.000744,0.010497,0.027795,0.027795,0.000002,0.000000,-0.000002,0.000021,0.000000,-0.000006,-0.000000,0.000021,0.000006,0.000001,6
60,0,1,-0.000001,24.986605,-0.000350,90.000008,24.986609,0.000001,-0.001047,-0.000001,0.001047,0.001047,0.010051,0.025214,0.025214,0.000003,0.000000,-0.000003,0.000025,0.000000,-0.000008,-0.000000,0.000025,0.000008,0.000001,7
70,0,1,-0.000001,24.980659,-0.000596,90.000008,24.980663,0.000001,-0.001769,-0.000001,0.001769,0.001769,0.009969,0.027741,0.027741,0.000010,0.000000,-0.000005,0.000037,0.000000,-0.000013,-0.000000,0.000037,0.000013,0.000001,8
80,0,1,-0.000001,24.972248,-0.000548,90.000008,24.972252,0.000001,-0.002053,-0.000001,0.002053,0.002053,0.010189,0.029704,0.029704,0.000014,0.000000,-0.000006,0.000038,0.000000,-0.000014,-0.000000,0.000039,0.000014,0.000001,9
90,0,1,-0.000001,24.961525,-0.000859,90.000008,24.961529,0.000001,-0.003118,-0.000001,0.003118,0.003118,0.010623,0.031130,0.031130,0.000031,0.000000,-0.000010,0.000053,0.000000,-0.000022,-0.000000,0.000054,0.000022,0.000002,10
100,0,1,-0.000001,24.951220,-0.000796,90.000008,24.951223,0.000001,-0.003665,-0.000001,0.003665,0.003665,0.011135,0.032061,0.032061,0.000043,0.000000,-0.000011,0.000058,0.000000,-0.000026,-0.000000,0.000059,0.000026,0.000002,11
