t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
200,0,1,0.000056,24.106319,0.671662,89.999847,24.115519,0.000003,-0.086591,-0.000003,0.086591,0.086591,0.116469,0.170920,0.170920,0.675023,0.000051,-0.014800,-0.002391,-0.000003,-0.002862,0.000002,0.014992,0.002862,0.001766,21
210,0,1,0.000109,24.079491,0.669804,89.999954,24.087938,-0.000096,-0.204525,0.000096,0.204525,0.204525,0.077709,0.390169,0.390169,3.771019,-0.000067,-0.079799,-0.003561,-0.000016,-0.006605,-0.000000,0.079879,0.006605,0.009305,22
220,0,1,0.000042,23.989838,0.667348,89.999931,23.995541,-0.000010,-0.414463,0.000010,0.414463,0.414463,0.092275,0.772205,0.772205,15.500997,-0.000585,-0.320050,0.057619,0.000009,-0.010376,-0.000024,0.325196,0.010376,0.039038,23
230,0,1,-0.000542,23.658741,0.725886,89.998512,23.661013,0.001149,-0.647541,-0.001149,0.647541,0.647542,0.519198,1.167766,1.167766,37.839676,0.001731,-0.756177,0.553359,0.000421,0.004008,0.000037,0.937024,0.004030,0.116307,24
240,0,1,0.001231,22.892530,1.279855,90.000595,22.928259,-0.001484,-0.029971,0.001484,0.029971,0.030008,1.659266,2.362903,2.362903,0.080445,-0.001460,0.002464,0.070838,-0.000306,0.002064,-0.000025,0.070896,0.002086,0.008800,25
250,0,1,-0.000215,22.885435,1.351519,89.999222,22.925303,0.000527,0.017104,-0.000527,-0.017104,0.017112,0.718777,0.458027,0.718777,0.027994,0.000674,-0.000822,-0.007831,0.000051,0.000229,0.000017,0.007903,0.000235,0.000911,26
260,0,1,0.000477,22.876789,1.345623,90.000145,22.916267,-0.000545,-0.053851,0.000545,0.053851,0.053853,0.289478,0.129072,0.289478,0.278172,-0.000194,-0.006951,-0.000688,-0.000057,-0.001798,0.000005,0.006988,0.001799,0.001057,27
270,0,1,0.000295,22.860357,1.346338,90.000397,22.899370,-0.000473,-0.165620,0.000473,0.165620,0.165620,0.093777,0.364792,0.364792,2.631554,-0.000893,-0.060417,-0.021992,-0.000027,-0.006282,-0.000028,0.064301,0.006282,0.009598,28
280,0,1,-0.000587,22.789709,1.324960,89.998795,22.824656,0.001028,-0.401821,-0.001028,0.401821,0.401823,0.090653,0.837689,0.837689,15.479324,-0.001082,-0.336603,-0.022335,0.000301,-0.013246,-0.000076,0.337344,0.013250,0.050511,29
290,0,1,-0.001624,22.444695,1.304443,89.994209,22.469202,0.003584,-0.775086,-0.003584,0.775086,0.775095,0.493988,1.539143,1.539143,57.193295,0.021394,-1.192985,0.540650,0.001132,0.002580,0.000825,1.309952,0.002936,0.202725,30
300,0,1,0.019883,21.245964,1.846917,90.041595,21.325491,-0.035537,-0.156752,0.035537,0.156752,0.160730,2.089146,3.286933,3.286933,2.208331,-0.060949,-0.017516,0.515753,-0.007878,0.018429,-0.001802,0.519637,0.020123,0.079839,31
310,0,1,-0.041637,21.225636,2.363519,89.936737,21.346487,0.060901,0.662882,-0.060901,-0.662882,0.665674,0.690122,1.473085,1.473085,44.233921,0.435257,-0.980124,-0.591688,-0.010209,-0.000853,0.018605,1.224821,0.021240,0.195770,32
320,0,1,0.391124,20.246630,1.772889,91.007156,20.314032,-0.748002,0.051578,0.748002,-0.051578,0.749778,1.854617,2.305778,2.305778,25.227596,-1.360344,-0.600402,-0.505935,0.009041,-0.019535,-0.047480,1.570665,0.052132,0.262533,33
330,0,1,-0.968812,19.649357,1.269340,88.304016,19.634741,1.553898,-0.842206,-1.553898,0.842206,1.767459,1.700376,1.270962,1.700376,152.383850,2.777235,-3.397965,0.713520,0.139804,0.027996,0.098097,4.446157,0.173066,0.759833,34
340,0,1,1.820340,16.266214,1.985771,94.008904,16.212217,-2.862024,0.905250,2.862024,-0.905250,3.001776,2.131669,1.782510,2.131669,173.714737,-7.575014,-4.119528,1.134377,-0.027242,0.085612,-0.349941,8.697021,0.361290,1.564943,35
350,0,1,-5.751583,12.176778,3.129965,74.806267,10.132289,9.066657,2.506736,-9.066657,-2.506736,9.406806,1.710957,0.965084,1.710957,559.478394,7.776148,-16.735388,-5.134834,0.010926,-0.168158,0.392916,19.154848,0.427527,3.485747,36
360,0,1,2.050862,-4.567234,-2.015068,96.019028,-5.035241,-1.661977,-1.005155,1.661977,1.005155,1.942293,0.665723,0.660294,0.665723,18.283916,-1.047916,-1.428567,0.659171,-0.010304,0.042263,-0.064695,1.890354,0.077960,0.362843,37
370,0,1,1.014186,-6.017264,-1.356009,92.534142,-6.179999,-0.796768,-0.497566,0.796768,0.497566,0.939368,0.360950,0.459203,0.459203,68.572174,-0.277525,0.276032,0.247796,-0.002598,0.018748,-0.023363,0.463267,0.030068,0.079523,38
380,0,1,0.746321,-5.759960,-1.105299,91.293274,-5.861194,-0.657424,-0.412331,0.657424,0.412331,0.776030,0.259659,0.778067,0.778067,60.418404,-0.161858,0.328651,0.178959,-0.002890,0.013172,-0.015434,0.407720,0.020495,0.070801,39
390,0,1,0.592297,-5.448386,-0.919700,90.465271,-5.515724,-0.582353,-0.345276,0.582353,0.345276,0.677016,0.358002,0.996615,0.996615,48.270832,-0.118554,0.290979,0.144254,-0.002962,0.009885,-0.011847,0.345735,0.015711,0.061096,40
400,0,1,0.479438,-5.172798,-0.764969,89.812668,-5.217436,-0.523667,-0.277512,0.523667,0.277512,0.592655,0.441353,1.122920,1.122920,36.147758,-0.097082,0.234316,0.115780,-0.002793,0.007264,-0.009587,0.278808,0.012348,0.049539,41
410,0,1,0.385707,-4.952316,-0.635319,89.263680,-4.981220,-0.469944,-0.210796,0.469944,0.210796,0.515056,0.505847,1.186490,1.186490,25.748142,-0.084055,0.178449,0.089131,-0.002524,0.005127,-0.007947,0.216456,0.009788,0.038198,42
420,0,1,0.302580,-4.786712,-0.529662,88.786568,-4.804898,-0.418584,-0.149882,0.418584,0.149882,0.444609,0.552328,1.209799,1.209799,17.788504,-0.074491,0.132149,0.065042,-0.002278,0.003445,-0.006697,0.165054,0.007868,0.028627,43
