t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10200,1,1,-0.573189,5.666323,0.414908,95.920006,5.710310,-0.015636,-0.004591,0.015636,0.004591,0.016296,0.209713,0.329416,0.329416,0.022984,-0.002904,-0.000773,0.002245,-0.000099,-0.000070,0.000107,0.003751,0.000162,0.000526,21
10210,1,1,-0.564598,5.574479,0.413924,95.932831,5.618243,-0.015871,-0.004140,0.015871,0.004140,0.016402,0.211792,0.335491,0.335491,0.022685,-0.003018,-0.000757,0.002135,-0.000104,-0.000058,0.000101,0.003774,0.000156,0.000501,22
10220,1,1,-0.556056,5.482667,0.412528,95.945061,5.526187,-0.016005,-0.003899,0.016005,0.003899,0.016473,0.214360,0.341598,0.341598,0.022601,-0.003102,-0.000752,0.002090,-0.000109,-0.000050,0.000093,0.003815,0.000152,0.000492,23
10230,1,1,-0.547529,5.390688,0.411022,95.957573,5.433966,-0.016065,-0.003532,0.016065,0.003532,0.016449,0.217297,0.347815,0.347815,0.022157,-0.003189,-0.000733,0.001997,-0.000114,-0.000041,0.000083,0.003833,0.000147,0.000471,24
10240,1,1,-0.539270,5.298582,0.409518,95.969070,5.341651,-0.015672,-0.003033,0.015672,0.003033,0.015963,0.220509,0.354019,0.354019,0.020503,-0.003192,-0.000688,0.001832,-0.000116,-0.000032,0.000070,0.003745,0.000139,0.000432,25
10250,1,1,-0.530904,5.206610,0.407811,95.979996,5.249451,-0.015298,-0.002477,0.015298,0.002477,0.015497,0.223855,0.360153,0.360153,0.018957,-0.003206,-0.000636,0.001643,-0.000119,-0.000023,0.000057,0.003658,0.000133,0.000386,26
10260,1,1,-0.522642,5.114565,0.406046,95.989906,5.157188,-0.014666,-0.001845,0.014666,0.001845,0.014781,0.227323,0.366254,0.366254,0.016927,-0.003169,-0.000571,0.001405,-0.000119,-0.000014,0.000043,0.003513,0.000127,0.000328,27
10270,1,1,-0.514283,5.022436,0.403943,95.999908,5.064813,-0.014116,-0.001298,0.014116,0.001298,0.014176,0.230842,0.372404,0.372404,0.015359,-0.003141,-0.000515,0.001195,-0.000120,-0.000008,0.000030,0.003400,0.000124,0.000278,28
10280,1,1,-0.505745,4.930073,0.401423,96.009201,4.972159,-0.013659,-0.000892,0.013659,0.000892,0.013688,0.234423,0.378659,0.378659,0.014213,-0.003120,-0.000472,0.001037,-0.000121,-0.000004,0.000017,0.003321,0.000122,0.000239,29
10290,1,1,-0.497184,4.837916,0.398672,96.018463,4.879692,-0.013217,-0.000497,0.013217,0.000497,0.013227,0.237909,0.384661,0.384661,0.013206,-0.003098,-0.000431,0.000877,-0.000121,-0.000002,0.000006,0.003249,0.000122,0.000202,30
10300,1,1,-0.488837,4.745523,0.395728,96.025925,4.787004,-0.012377,-0.000238,0.012377,0.000238,0.012379,0.241418,0.390609,0.390609,0.011553,-0.002966,-0.000385,0.000745,-0.000118,-0.000000,-0.000006,0.003082,0.000118,0.000172,31
10310,1,1,-0.480558,4.653294,0.392555,96.033585,4.694470,-0.011485,-0.000009,0.011485,0.000009,0.011485,0.244780,0.396341,0.396341,0.009946,-0.002811,-0.000343,0.000617,-0.000113,0.000000,-0.000015,0.002898,0.000114,0.000145,32
10320,1,1,-0.471787,4.561016,0.389143,96.040588,4.601821,-0.011011,0.000202,0.011011,-0.000202,0.011013,0.248078,0.402003,0.402003,0.009160,-0.002751,-0.000314,0.000515,-0.000112,0.000000,-0.000025,0.002816,0.000115,0.000128,33
10330,1,1,-0.463066,4.468541,0.385736,96.046875,4.508988,-0.010347,0.000594,0.010347,-0.000594,0.010364,0.251320,0.407642,0.407642,0.008168,-0.002658,-0.000270,0.000325,-0.000110,-0.000001,-0.000033,0.002691,0.000115,0.000100,34
10340,1,1,-0.454356,4.375963,0.381916,96.052422,4.416022,-0.009630,0.000761,0.009630,-0.000761,0.009660,0.254455,0.413177,0.413177,0.007146,-0.002525,-0.000238,0.000221,-0.000106,-0.000003,-0.000039,0.002546,0.000113,0.000094,35
10350,1,1,-0.445445,4.283428,0.377845,96.057549,4.323062,-0.009086,0.000866,0.009086,-0.000866,0.009127,0.257430,0.418459,0.418459,0.006421,-0.002425,-0.000216,0.000149,-0.000102,-0.000005,-0.000045,0.002439,0.000112,0.000097,36
10360,1,1,-0.436659,4.190793,0.373682,96.062332,4.230011,-0.008355,0.000985,0.008355,-0.000985,0.008413,0.260265,0.423539,0.423539,0.005514,-0.002273,-0.000188,0.000059,-0.000097,-0.000007,-0.000049,0.002281,0.000109,0.000100,37
10370,1,1,-0.427389,4.098069,0.369243,96.067146,4.136799,-0.008092,0.001120,0.008092,-0.001120,0.008170,0.262960,0.428547,0.428547,0.005258,-0.002240,-0.000176,-0.000014,-0.000097,-0.000010,-0.000055,0.002247,0.000112,0.000111,38
10380,1,1,-0.418110,4.005646,0.364595,96.071701,4.043870,-0.007857,0.001163,0.007857,-0.001163,0.007943,0.265388,0.433028,0.433028,0.005001,-0.002203,-0.000169,-0.000047,-0.000096,-0.000012,-0.000061,0.002210,0.000114,0.000120,39
10390,1,1,-0.408986,3.912781,0.359823,96.076027,3.950511,-0.007386,0.001196,0.007386,-0.001196,0.007482,0.267764,0.437601,0.437601,0.004479,-0.002099,-0.000156,-0.000090,-0.000093,-0.000014,-0.000064,0.002107,0.000113,0.000127,40
10400,1,1,-0.399508,3.819859,0.355092,96.079422,3.857067,-0.007127,0.001525,0.007127,-0.001525,0.007288,0.269991,0.441958,0.441958,0.004410,-0.002080,-0.000137,-0.000252,-0.000092,-0.000021,-0.000068,0.002100,0.000117,0.000154,41
10410,1,1,-0.390096,3.726680,0.350139,96.082893,3.763359,-0.006780,0.001794,0.006780,-0.001794,0.007013,0.272070,0.446178,0.446178,0.004261,-0.002029,-0.000122,-0.000395,-0.000091,-0.000027,-0.000071,0.002071,0.000118,0.000182,42
10420,1,1,-0.380465,3.633720,0.344843,96.086441,3.669815,-0.006706,0.001908,0.006706,-0.001908,0.006972,0.273864,0.449881,0.449881,0.004290,-0.002033,-0.000121,-0.000455,-0.000092,-0.000032,-0.000076,0.002087,0.000123,0.000199,43
10430,1,1,-0.371061,3.540622,0.339695,96.089218,3.576177,-0.006277,0.002247,0.006277,-0.002247,0.006667,0.275500,0.453296,0.453296,0.004207,-0.001961,-0.000104,-0.000638,-0.000089,-0.000042,-0.000077,0.002065,0.000125,0.000237,44
10440,1,1,-0.361507,3.447379,0.334278,96.091377,3.482357,-0.005962,0.002470,0.005962,-0.002470,0.006453,0.276977,0.456470,0.456470,0.004171,-0.001907,-0.000094,-0.000763,-0.000087,-0.000050,-0.000078,0.002056,0.000127,0.000266,45
10450,1,1,-0.351821,3.354066,0.328299,96.093964,3.388403,-0.005866,0.002354,0.005866,-0.002354,0.006320,0.278238,0.459445,0.459445,0.003954,-0.001876,-0.000101,-0.000721,-0.000086,-0.000051,-0.000082,0.002013,0.000130,0.000260,46
10460,1,1,-0.342313,3.260791,0.322461,96.095985,3.294523,-0.005504,0.002459,0.005504,-0.002459,0.006028,0.279271,0.461924,0.461924,0.003767,-0.001792,-0.000096,-0.000797,-0.000083,-0.000058,-0.000082,0.001964,0.000130,0.000276,47
10470,1,1,-0.332428,3.167348,0.316469,96.098289,3.200425,-0.005491,0.002677,0.005491,-0.002677,0.006109,0.280141,0.464289,0.464289,0.004031,-0.001816,-0.000101,-0.000903,-0.000085,-0.000067,-0.000086,0.002031,0.000138,0.000305,48
10480,1,1,-0.322899,3.073923,0.310139,96.100311,3.106352,-0.005149,0.002648,0.005149,-0.002648,0.005790,0.280780,0.466241,0.466241,0.003720,-0.001720,-0.000102,-0.000915,-0.000081,-0.000070,-0.000085,0.001951,0.000137,0.000305,49
10490,1,1,-0.313250,2.980278,0.303579,96.101936,3.012028,-0.004882,0.002593,0.004882,-0.002593,0.005528,0.281283,0.468026,0.468026,0.003450,-0.001641,-0.000105,-0.000910,-0.000078,-0.000073,-0.000084,0.001879,0.000136,0.000302,50
10500,1,1,-0.303522,2.886806,0.297055,96.104126,2.917874,-0.004699,0.002720,0.004699,-0.002720,0.005429,0.281493,0.469218,0.469218,0.003484,-0.001603,-0.000109,-0.000983,-0.000076,-0.000081,-0.000085,0.001884,0.000140,0.000319,51
10510,1,1,-0.293630,2.793148,0.290564,96.105583,2.823525,-0.004561,0.003109,0.004561,-0.003109,0.005520,0.281589,0.470297,0.470297,0.003942,-0.001604,-0.000117,-0.001177,-0.000077,-0.000097,-0.000085,0.001993,0.000150,0.000367,52
10520,1,1,-0.283885,2.699434,0.283885,96.107071,2.729120,-0.004277,0.003435,0.004277,-0.003435,0.005486,0.281480,0.470984,0.470984,0.004274,-0.001555,-0.000124,-0.001350,-0.000075,-0.000113,-0.000083,0.002063,0.000159,0.000407,53
10530,1,1,-0.273810,2.605499,0.276965,96.108566,2.634440,-0.004311,0.003719,0.004311,-0.003719,0.005693,0.281225,0.471362,0.471362,0.004798,-0.001591,-0.000138,-0.001483,-0.000077,-0.000128,-0.000087,0.002180,0.000172,0.000444,54
10540,1,1,-0.263770,2.511664,0.269288,96.109535,2.539787,-0.004421,0.003401,0.004421,-0.003401,0.005578,0.280749,0.471287,0.471287,0.004323,-0.001586,-0.000146,-0.001326,-0.000077,-0.000121,-0.000092,0.002073,0.000171,0.000409,55
10550,1,1,-0.253955,2.417558,0.262049,96.110092,2.444938,-0.004121,0.003687,0.004121,-0.003687,0.005530,0.280160,0.471138,0.471138,0.004628,-0.001526,-0.000158,-0.001480,-0.000075,-0.000137,-0.000088,0.002131,0.000179,0.000443,56
10560,1,1,-0.244033,2.323314,0.254322,96.110695,2.349892,-0.003975,0.003694,0.003975,-0.003694,0.005427,0.279402,0.470685,0.470685,0.004555,-0.001480,-0.000169,-0.001491,-0.000073,-0.000142,-0.000088,0.002108,0.000182,0.000445,57
10570,1,1,-0.234137,2.228948,0.246767,96.111572,2.254749,-0.003728,0.004022,0.003728,-0.004022,0.005484,0.278455,0.469809,0.469809,0.005035,-0.001437,-0.000186,-0.001658,-0.000071,-0.000160,-0.000084,0.002202,0.000195,0.000484,58
10580,1,1,-0.224187,2.134429,0.238444,96.112251,2.159370,-0.003629,0.003797,0.003629,-0.003797,0.005253,0.277366,0.468703,0.468703,0.004553,-0.001380,-0.000192,-0.001555,-0.000069,-0.000157,-0.000085,0.002088,0.000191,0.000457,59
10590,1,1,-0.213988,2.039889,0.230310,96.112549,2.063965,-0.003677,0.003983,0.003677,-0.003983,0.005421,0.276105,0.467198,0.467198,0.004941,-0.001404,-0.000212,-0.001634,-0.000070,-0.000169,-0.000088,0.002165,0.000203,0.000478,60
10600,1,1,-0.203916,1.945128,0.221969,96.112900,1.968336,-0.003579,0.004133,0.003579,-0.004133,0.005467,0.274710,0.465474,0.465474,0.005190,-0.001383,-0.000230,-0.001704,-0.000070,-0.000181,-0.000087,0.002206,0.000212,0.000494,61
10610,1,1,-0.193860,1.850359,0.213732,96.112381,1.872715,-0.003373,0.004564,0.003373,-0.004564,0.005675,0.273164,0.463378,0.463378,0.006010,-0.001358,-0.000258,-0.001908,-0.000069,-0.000205,-0.000084,0.002356,0.000232,0.000543,62
10620,1,1,-0.183629,1.755483,0.205056,96.112640,1.776922,-0.003415,0.004742,0.003415,-0.004742,0.005844,0.271436,0.460809,0.460809,0.006446,-0.001377,-0.000276,-0.001977,-0.000070,-0.000218,-0.000086,0.002425,0.000245,0.000562,63
10630,1,1,-0.173444,1.660422,0.196345,96.112747,1.680951,-0.003347,0.005087,0.003347,-0.005087,0.006090,0.269599,0.458135,0.458135,0.007254,-0.001380,-0.000304,-0.002128,-0.000071,-0.000240,-0.000086,0.002554,0.000264,0.000599,64
