t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
0,0,1,-0.000001,25.000000,0.000000,90.000008,25.000004,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.049816,0.173190,0.173190,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1
10,0,1,-0.000001,24.999750,0.000000,90.000008,24.999754,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.030470,0.091441,0.091441,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2
20,0,1,-0.000001,24.999102,-0.000032,90.000008,24.999105,0.000001,-0.000065,-0.000001,0.000065,0.000065,0.051928,0.138580,0.138580,0.000000,0.000000,-0.000000,0.000003,0.000000,-0.000001,-0.000000,0.000003,0.000001,0.000000,3
30,0,1,-0.000001,24.997564,-0.000064,90.000008,24.997568,0.000001,-0.000169,-0.000001,0.000169,0.000169,0.068490,0.154780,0.154780,0.000001,0.000000,-0.000000,0.000007,0.000000,-0.000004,-0.000000,0.000007,0.000004,0.000000,4
40,0,1,-0.000001,24.994942,-0.000200,90.000008,24.994946,0.000001,-0.000547,-0.000001,0.000547,0.000547,0.078496,0.155356,0.155356,0.000012,0.000000,-0.000001,0.000020,0.000000,-0.000012,-0.000000,0.000020,0.000012,0.000000,5
50,0,1,-0.000001,24.991344,-0.000277,90.000008,24.991348,0.000001,-0.001052,-0.000001,0.001052,0.001052,0.083181,0.149597,0.149597,0.000046,0.000000,-0.000002,0.000038,0.000000,-0.000023,-0.000000,0.000038,0.000023,0.000000,6
60,0,1,-0.000001,24.986599,-0.000324,90.000008,24.986603,0.000001,-0.001829,-0.000001,0.001829,0.001829,0.084121,0.141874,0.141874,0.000140,0.000000,-0.000005,0.000067,0.000000,-0.000040,-0.000000,0.000067,0.000040,0.000000,7
70,0,1,-0.000001,24.980644,-0.000524,90.000008,24.980648,0.000001,-0.003427,-0.000001,0.003427,0.003427,0.082723,0.133973,0.133973,0.000495,0.000000,-0.000014,0.000131,0.000000,-0.000074,-0.000000,0.000131,0.000074,0.000001,8
80,0,1,-0.000001,24.972210,-0.000373,90.000008,24.972214,0.000001,-0.005366,-0.000001,0.005366,0.005366,0.080030,0.126590,0.126590,0.001218,0.000000,-0.000031,0.000224,0.000000,-0.000115,-0.000000,0.000226,0.000115,0.000003,9
90,0,1,-0.000001,24.961437,-0.000484,90.000008,24.961441,0.000001,-0.009112,-0.000001,0.009112,0.009112,0.076747,0.119895,0.119895,0.003525,0.000000,-0.000080,0.000418,0.000000,-0.000193,-0.000000,0.000426,0.000193,0.000007,10
100,0,1,-0.000001,24.951017,-0.000033,90.000000,24.951014,0.000001,-0.014160,-0.000001,0.014160,0.014160,0.073243,0.113775,0.113775,0.008542,0.000000,-0.000186,0.000657,0.000000,-0.000299,-0.000000,0.000683,0.000299,0.000015,11
110,0,1,-0.000001,24.941086,0.000210,90.000000,24.941076,0.000001,-0.022916,-0.000001,0.022916,0.022916,0.069797,0.108203,0.108203,0.022443,0.000000,-0.000475,0.001032,0.000000,-0.000485,-0.000000,0.001136,0.000485,0.000034,12
120,0,1,-0.000000,24.930101,0.001468,90.000000,24.930077,0.000000,-0.035265,-0.000000,0.035265,0.035265,0.066551,0.103206,0.103206,0.053297,0.000000,-0.001110,0.001589,0.000000,-0.000745,-0.000000,0.001939,0.000745,0.000081,13
130,0,1,-0.000000,24.918493,0.003123,90.000008,24.918438,0.000000,-0.054765,-0.000000,0.054765,0.054765,0.063615,0.098679,0.098679,0.128877,0.000000,-0.002658,0.002453,0.000000,-0.001155,-0.000000,0.003617,0.001155,0.000203,14
140,0,1,-0.000000,24.904823,0.005312,90.000008,24.904678,0.000000,-0.085622,-0.000000,0.085622,0.085622,0.061099,0.094631,0.094631,0.315794,-0.000000,-0.006464,0.003948,-0.000000,-0.001798,-0.000000,0.007575,0.001798,0.000526,15
150,0,1,-0.000000,24.889330,0.009108,90.000000,24.888979,0.000002,-0.132773,-0.000002,0.132773,0.132773,0.059044,0.116878,0.116878,0.761064,0.000000,-0.015518,0.006251,0.000000,-0.002777,-0.000000,0.016730,0.002777,0.001339,16
160,0,1,-0.000000,24.864656,0.015839,90.000000,24.863831,0.000002,-0.203617,-0.000002,0.203617,0.203617,0.057688,0.178703,0.178703,1.793845,0.000001,-0.036387,0.011720,0.000000,-0.004162,-0.000000,0.038228,0.004162,0.003343,17
170,0,1,0.000001,24.816458,0.027191,90.000000,24.814550,0.000002,-0.309064,-0.000002,0.309064,0.309064,0.059882,0.269963,0.269963,4.142628,0.000001,-0.083436,0.028210,-0.000000,-0.005871,0.000000,0.088076,0.005871,0.008223,18
180,0,1,0.000002,24.721462,0.055676,90.000000,24.717537,0.000000,-0.444138,-0.000000,0.444138,0.444138,0.088860,0.385722,0.385722,8.578662,-0.000001,-0.171314,0.074098,-0.000000,-0.007017,-0.000000,0.186652,0.007017,0.018411,19
190,0,1,0.000001,24.538509,0.130254,90.000000,24.532326,0.000001,-0.566199,-0.000001,0.566199,0.566199,0.166390,0.487385,0.487385,13.996988,-0.000007,-0.275957,0.180822,-0.000000,-0.005316,-0.000000,0.329922,0.005316,0.034076,20
