t_ms,gps_outage,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_max,dx_vel,dx_att,dx_pos,nhc_count
340,0,1.820340,16.266214,1.985771,94.008904,16.212217,-2.862024,0.905250,2.862024,-0.905250,3.001776,2.131669,8.697021,0.361290,1.564943,35
350,0,-5.751583,12.176778,3.129965,74.806267,10.132289,9.066657,2.506736,-9.066657,-2.506736,9.406806,1.710957,19.154848,0.427527,3.485747,36
360,0,2.050862,-4.567234,-2.015068,96.019028,-5.035241,-1.661977,-1.005155,1.661977,1.005155,1.942293,0.665723,1.890354,0.077960,0.362843,37
370,0,1.014186,-6.017264,-1.356009,92.534142,-6.179999,-0.796768,-0.497566,0.796768,0.497566,0.939368,0.459203,0.463267,0.030068,0.079523,38
380,0,0.746321,-5.759960,-1.105299,91.293274,-5.861194,-0.657424,-0.412331,0.657424,0.412331,0.776030,0.778067,0.407720,0.020495,0.070801,39
390,0,0.592297,-5.448386,-0.919700,90.465271,-5.515724,-0.582353,-0.345276,0.582353,0.345276,0.677016,0.996615,0.345735,0.015711,0.061096,40
400,0,0.479438,-5.172798,-0.764969,89.812668,-5.217436,-0.523667,-0.277512,0.523667,0.277512,0.592655,1.122920,0.278808,0.012348,0.049539,41
410,0,0.385707,-4.952316,-0.635319,89.263680,-4.981220,-0.469944,-0.210796,0.469944,0.210796,0.515056,1.186490,0.216456,0.009788,0.038198,42
420,0,0.302580,-4.786712,-0.529662,88.786568,-4.804898,-0.418584,-0.149882,0.418584,0.149882,0.444609,1.209799,0.165054,0.007868,0.028627,43
430,0,0.226637,-4.666066,-0.446148,88.362381,-4.677218,-0.369662,-0.097823,0.369662,0.097823,0.382386,1.208055,0.126172,0.006459,0.021353,44
440,0,0.156568,-4.578511,-0.381783,87.978996,-4.585320,-0.323764,-0.055301,0.323764,0.055301,0.328453,1.191152,0.098136,0.005432,0.016157,45
450,0,0.091879,-4.514019,-0.333210,87.628700,-4.518432,-0.281323,-0.021504,0.281323,0.021504,0.282144,1.165431,0.078293,0.004683,0.012552,46
460,0,0.032336,-4.465278,-0.297323,87.306839,-4.468704,-0.242513,0.004945,0.242513,-0.004945,0.242564,1.134909,0.064265,0.004134,0.010071,47
470,0,-0.022224,-4.426523,-0.271470,87.010315,-4.429975,-0.207306,0.025448,0.207306,-0.025448,0.208863,1.102276,0.054303,0.003728,0.008356,48
480,0,-0.072026,-4.394547,-0.253580,86.737144,-4.398753,-0.175527,0.041209,0.175527,-0.041209,0.180299,1.069011,0.047188,0.003424,0.007160,49
490,0,-0.117310,-4.366892,-0.242000,86.485733,-4.372374,-0.146947,0.053196,0.146947,-0.053196,0.156279,1.036104,0.042095,0.003190,0.006317,50
500,0,-0.158323,-4.341656,-0.235418,86.254562,-4.348779,-0.121314,0.062169,0.121314,-0.062169,0.136316,1.004215,0.038451,0.003004,0.005715,51
510,0,-0.195343,-4.317807,-0.232813,86.042343,-4.326827,-0.098372,0.068705,0.098372,-0.068705,0.119989,0.973632,0.035828,0.002846,0.005277,52
520,0,-0.228672,-4.294970,-0.233380,85.847725,-4.306053,-0.077879,0.073268,0.077879,-0.073268,0.106927,0.944394,0.033913,0.002708,0.004949,53
530,0,-0.258550,-4.272283,-0.236419,85.669319,-4.285531,-0.059624,0.076232,0.059624,-0.076232,0.096779,0.916733,0.032485,0.002578,0.004695,54
540,0,-0.285303,-4.250271,-0.241437,85.505852,-4.265740,-0.043403,0.077894,0.043403,-0.077894,0.089170,0.890318,0.031362,0.002456,0.004489,55
550,0,-0.309090,-4.227591,-0.247890,85.355774,-4.245292,-0.029056,0.078516,0.029056,-0.078516,0.083720,0.865655,0.030458,0.002335,0.004315,56
560,0,-0.330173,-4.204411,-0.255436,85.217819,-4.224327,-0.016420,0.078268,0.016420,-0.078268,0.079972,0.842491,0.029668,0.002215,0.004157,57
570,0,-0.348835,-4.181312,-0.263794,85.090729,-4.203407,-0.005345,0.077345,0.005345,-0.077345,0.077529,0.820458,0.028933,0.002098,0.004011,58
580,0,-0.368512,-4.193899,-0.275199,84.975845,-4.218346,0.004623,0.076583,-0.004623,-0.076583,0.076723,0.783060,0.027781,0.002164,0.003981,59
590,0,-0.386380,-4.207486,-0.286541,84.869164,-4.234175,0.013322,0.076924,-0.013322,-0.076924,0.078069,0.751816,0.027581,0.002232,0.004118,60
600,0,-0.402651,-4.221322,-0.298279,84.770340,-4.250197,0.020964,0.077728,-0.020964,-0.077728,0.080505,0.724971,0.027884,0.002296,0.004349,61
610,0,-0.417491,-4.235003,-0.310632,84.678970,-4.266039,0.027704,0.078639,-0.027704,-0.078639,0.083377,0.701295,0.028432,0.002352,0.004631,62
620,0,-0.431040,-4.248327,-0.323683,84.594582,-4.281519,0.033662,0.079463,-0.033662,-0.079463,0.086299,0.679949,0.029069,0.002398,0.004934,63
630,0,-0.443415,-4.261215,-0.337440,84.516647,-4.296569,0.038926,0.080098,-0.038926,-0.080098,0.089055,0.660356,0.029701,0.002435,0.005239,64
640,0,-0.454721,-4.273666,-0.351867,84.444695,-4.311198,0.043569,0.080503,-0.043569,-0.080503,0.091537,0.642119,0.030273,0.002463,0.005534,65
650,0,-0.465053,-4.285728,-0.366907,84.378189,-4.325458,0.047648,0.080672,-0.047648,-0.080672,0.093693,0.624959,0.030758,0.002484,0.005809,66
660,0,-0.474498,-4.297470,-0.382493,84.316635,-4.339421,0.051214,0.080622,-0.051214,-0.080622,0.095513,0.608680,0.031142,0.002499,0.006062,67
670,0,-0.483138,-4.308976,-0.398559,84.259583,-4.353175,0.054311,0.080380,-0.054311,-0.080380,0.097009,0.593138,0.031426,0.002510,0.006290,68
680,0,-0.491049,-4.320329,-0.415041,84.206596,-4.366805,0.056980,0.079983,-0.056980,-0.079983,0.098203,0.578230,0.031617,0.002518,0.006494,69
690,0,-0.498303,-4.331604,-0.431884,84.157242,-4.380388,0.059258,0.079465,-0.059258,-0.079465,0.099127,0.563878,0.031725,0.002524,0.006676,70
700,0,-0.504966,-4.342871,-0.449039,84.111191,-4.393996,0.061181,0.078861,-0.061181,-0.078861,0.099811,0.550027,0.031764,0.002529,0.006838,71
710,0,-0.511100,-4.354183,-0.466468,84.068054,-4.407683,0.062782,0.078204,-0.062782,-0.078204,0.100286,0.536634,0.031746,0.002534,0.006984,72
720,0,-0.516763,-4.365586,-0.484141,84.027534,-4.421500,0.064091,0.077520,-0.064091,-0.077520,0.100584,0.523668,0.031685,0.002539,0.007118,73
730,0,-0.522006,-4.377110,-0.502033,83.989365,-4.435479,0.065140,0.076834,-0.065140,-0.076834,0.100730,0.511104,0.031592,0.002545,0.007241,74
740,0,-0.526876,-4.388777,-0.520129,83.953285,-4.449646,0.065955,0.076163,-0.065955,-0.076163,0.100752,0.498924,0.031479,0.002551,0.007357,75
750,0,-0.531417,-4.400598,-0.538418,83.919052,-4.464015,0.066561,0.075524,-0.066561,-0.075524,0.100669,0.487115,0.031354,0.002558,0.007468,76
760,0,-0.535668,-4.412578,-0.556894,83.886490,-4.478595,0.066982,0.074927,-0.066982,-0.074927,0.100502,0.475662,0.031224,0.002565,0.007577,77
770,0,-0.539661,-4.424712,-0.575553,83.855392,-4.493386,0.067240,0.074380,-0.067240,-0.074380,0.100268,0.464556,0.031097,0.002573,0.007686,78
780,0,-0.543429,-4.436992,-0.594398,83.825592,-4.508384,0.067352,0.073889,-0.067352,-0.073889,0.099979,0.453791,0.030978,0.002581,0.007796,79
790,0,-0.546998,-4.449405,-0.613430,83.796936,-4.523580,0.067336,0.073457,-0.067336,-0.073457,0.099650,0.443355,0.030871,0.002588,0.007909,80
800,0,-0.550392,-4.461933,-0.632652,83.769287,-4.538961,0.067205,0.073086,-0.067205,-0.073086,0.099287,0.433247,0.030778,0.002596,0.008026,81
810,0,-0.553633,-4.474557,-0.652071,83.742470,-4.554513,0.066973,0.072775,-0.066973,-0.072775,0.098902,0.423455,0.030704,0.002603,0.008148,82
820,0,-0.556740,-4.487256,-0.671691,83.716400,-4.570219,0.066650,0.072523,-0.066650,-0.072523,0.098498,0.413975,0.030649,0.002610,0.008276,83
830,0,-0.559728,-4.500007,-0.691518,83.690941,-4.586059,0.066248,0.072328,-0.066248,-0.072328,0.098083,0.404801,0.030615,0.002615,0.008410,84
840,0,-0.562613,-4.512784,-0.711557,83.665977,-4.602014,0.065775,0.072188,-0.065775,-0.072188,0.097660,0.395928,0.030603,0.002621,0.008551,85
850,0,-0.565407,-4.525566,-0.731813,83.641411,-4.618065,0.065235,0.072099,-0.065235,-0.072099,0.097231,0.387347,0.030614,0.002625,0.008699,86
860,0,-0.568123,-4.538325,-0.752291,83.617134,-4.634192,0.064637,0.072056,-0.064637,-0.072056,0.096799,0.379052,0.030647,0.002628,0.008854,87
870,0,-0.570770,-4.551040,-0.772995,83.593018,-4.650374,0.063983,0.072056,-0.063983,-0.072056,0.096363,0.371042,0.030702,0.002630,0.009017,88
880,0,-0.573358,-4.563686,-0.793928,83.568993,-4.666593,0.063278,0.072096,-0.063278,-0.072096,0.095926,0.363306,0.030778,0.002630,0.009186,89
890,0,-0.575897,-4.576241,-0.815093,83.544952,-4.682830,0.062524,0.072168,-0.062524,-0.072168,0.095486,0.355839,0.030875,0.002630,0.009363,90
900,0,-0.578394,-4.588683,-0.836491,83.520790,-4.699068,0.061725,0.072271,-0.061725,-0.072271,0.095043,0.348635,0.030992,0.002627,0.009546,91
910,0,-0.580856,-4.600992,-0.858123,83.496399,-4.715289,0.060881,0.072399,-0.060881,-0.072399,0.094594,0.341689,0.031126,0.002623,0.009734,92
920,0,-0.583292,-4.613150,-0.879989,83.471687,-4.731480,0.059992,0.072547,-0.059992,-0.072547,0.094139,0.334986,0.031277,0.002618,0.009929,93
930,0,-0.585708,-4.625141,-0.902089,83.446564,-4.747628,0.059062,0.072712,-0.059062,-0.072712,0.093677,0.328524,0.031443,0.002611,0.010128,94
940,0,-0.588112,-4.636948,-0.924419,83.420921,-4.763720,0.058089,0.072890,-0.058089,-0.072890,0.093205,0.322293,0.031623,0.002602,0.010332,95
950,0,-0.590511,-4.648558,-0.946979,83.394684,-4.779747,0.057073,0.073077,-0.057073,-0.073077,0.092723,0.325271,0.031814,0.002592,0.010539,96
960,0,-0.592911,-4.659960,-0.969765,83.367714,-4.795697,0.056015,0.073270,-0.056015,-0.073270,0.092229,0.330889,0.032015,0.002580,0.010750,97
970,0,-0.595322,-4.671144,-0.992773,83.339943,-4.811567,0.054914,0.073466,-0.054914,-0.073466,0.091721,0.336622,0.032224,0.002566,0.010963,98
980,0,-0.597749,-4.682101,-1.015999,83.311264,-4.827350,0.053770,0.073663,-0.053770,-0.073663,0.091200,0.342457,0.032441,0.002551,0.011179,99
990,0,-0.600200,-4.692825,-1.039438,83.281593,-4.843042,0.052583,0.073858,-0.052583,-0.073858,0.090665,0.348384,0.032663,0.002534,0.011396,100
1000,0,-0.602683,-4.703309,-1.063084,83.250801,-4.858640,0.051352,0.074051,-0.051352,-0.074051,0.090114,0.354381,0.032890,0.002516,0.011614,101
1010,0,-0.605207,-4.713550,-1.086933,83.218803,-4.874139,0.050078,0.074238,-0.050078,-0.074238,0.089549,0.360446,0.033121,0.002496,0.011833,102
1020,0,-0.607778,-4.723544,-1.110978,83.185516,-4.889542,0.048759,0.074420,-0.048759,-0.074420,0.088971,0.366569,0.033354,0.002475,0.012053,103
1030,0,-0.610406,-4.733287,-1.135213,83.150826,-4.904845,0.047396,0.074594,-0.047396,-0.074594,0.088378,0.372734,0.033590,0.002453,0.012273,104
1040,0,-0.613098,-4.742780,-1.159633,83.114647,-4.920050,0.045988,0.074761,-0.045988,-0.074761,0.087774,0.378949,0.033828,0.002430,0.012493,105
1050,0,-0.615862,-4.752018,-1.184230,83.076874,-4.935157,0.044535,0.074920,-0.044535,-0.074920,0.087157,0.385191,0.034067,0.002406,0.012713,106
1060,0,-0.618707,-4.761003,-1.208999,83.037399,-4.950166,0.043035,0.075068,-0.043035,-0.075068,0.086529,0.391451,0.034306,0.002381,0.012933,107
