time,seconds_elapsed,z,y,x
1784194466331343600,0.112343505859375,0.0018119999440386891,-0.0031419999431818724,-0.0031250000465661287
1784194466341321700,0.12232177734375,-0.003028000006452203,-0.0030980000738054514,0.0016550000291317701
1784194466351423000,0.132423095703125,0.004118000157177448,-0.003071000101044774,-0.0007099999929778278
1784194466361524200,0.142524169921875,0.004137000069022179,-0.0030869999900460243,0.0017259999876841903
1784194466371678700,0.1526787109375,-0.005501000210642815,-0.0030360000673681498,0.004147999919950962
1784194466381666000,0.162666015625,-0.005526999942958355,-0.0078050000593066216,0.0017659999430179596
1784194466391767300,0.172767333984375,0.0016159999649971724,-0.0029849999118596315,0.0017940000398084521
1784194466401838000,0.182838134765625,-0.0031429999507963657,-0.0006150000263005495,-0.0030320000369101763
1784194466411939300,0.192939208984375,-0.005563999991863966,-0.0029879999347031116,-0.0055160000920295715
1784194466422098700,0.2030986328125,-0.0008019999950192869,-0.0029700000304728746,0.0016740000573918223
1784194466432183000,0.21318310546875,0.0016319999704137444,0.001787999994121492,0.00394799979403615
1784194466442267000,0.223266845703125,-0.0007179999956861138,0.0017519999528303742,-0.000826000003144145
1784194466452351000,0.23335107421875,0.0016469999682158232,-0.0054060001857578754,-0.0031769999768584967
1784194466462324000,0.243323974609375,-0.000805000017862767,-0.0005719999899156392,-0.0008069999748840928
1784194466472519000,0.253518798828125,-0.010418999940156937,-0.0029380000196397305,0.004025000147521496
1784194466482526700,0.263526611328125,-0.010340999811887741,-0.005390999838709831,0.004038000013679266
1784194466492567000,0.273567138671875,-0.0055669997818768024,-0.0029879999347031116,-0.0008009999874047935
1784194466502668300,0.283668212890625,-0.007987000048160553,-0.002968000015243888,-0.0008219999726861715
1784194466512739000,0.293739013671875,-0.00800199992954731,0.0018319999799132347,0.003944000229239464
1784194466522939000,0.30393896484375,-0.003215000033378601,0.001832999987527728,0.006351999938488007
1784194466532941800,0.31394189453125,-0.005628000013530254,0.0018469999777153134,0.0014799999771639705
1784194466543106800,0.32410693359375,-0.007946999743580818,-0.0006050000083632767,-0.0009670000290498137
1784194466553083400,0.33408349609375,-0.007954999804496765,-0.005388000048696995,0.008652999997138977
1784194466563275000,0.34427490234375,-0.005584999918937683,-0.005371000152081251,0.00624299980700016
1784194466573359000,0.354359130859375,-0.003137999912723899,-0.0006220000213943422,-0.005810000002384186
