time,seconds_elapsed,z,y,x
1784194466331343600,0.112343505859375,6.0660080909729,7.704529762268066,-0.11897800117731094
1784194466341321700,0.12232177734375,6.066061019897461,7.704485893249512,-0.11897099763154984
1784194466351423000,0.132423095703125,6.06609582901001,7.704459190368652,-0.11899899691343307
1784194466361524200,0.142524169921875,6.06607723236084,7.704474925994873,-0.11904200166463852
1784194466371678700,0.1526787109375,6.066140174865723,7.704424858093262,-0.11907000094652176
1784194466381666000,0.162666015625,6.066165924072266,7.704404830932617,-0.1190819963812828
1784194466391767300,0.172767333984375,6.066205024719238,7.704373836517334,-0.11911000311374664
1784194466401838000,0.182838134765625,6.066175937652588,7.704397201538086,-0.11907199770212173
1784194466411939300,0.192939208984375,6.0662031173706055,7.704376220703125,-0.11898099631071091
1784194466422098700,0.2030986328125,6.066228866577148,7.704358100891113,-0.11898999661207199
1784194466432183000,0.21318310546875,6.066188812255859,7.704387187957764,-0.11886999756097794
1784194466442267000,0.223266845703125,6.066144943237305,7.704422950744629,-0.11888299882411957
1784194466452351000,0.23335107421875,6.066173076629639,7.704400062561035,-0.11892600357532501
1784194466462324000,0.243323974609375,6.066232204437256,7.7043538093566895,-0.11890300363302231
1784194466472519000,0.253518798828125,6.0662689208984375,7.704326152801514,-0.11894600093364716
1784194466482526700,0.263526611328125,6.06619119644165,7.704384803771973,-0.11896000057458878
1784194466492567000,0.273567138671875,6.066205024719238,7.704376220703125,-0.11890800297260284
1784194466502668300,0.283668212890625,6.066230773925781,7.7043561935424805,-0.11888699978590012
1784194466512739000,0.293739013671875,6.06624698638916,7.704343795776367,-0.11886599659919739
1784194466522939000,0.30393896484375,6.066247940063477,7.704342842102051,-0.1188800036907196
1784194466532941800,0.31394189453125,6.066266059875488,7.7043280601501465,-0.11879599839448929
1784194466543106800,0.32410693359375,6.06619119644165,7.704387187957764,-0.11874199658632278
1784194466553083400,0.33408349609375,6.066199779510498,7.704381942749023,-0.11878599971532822
1784194466563275000,0.34427490234375,6.06622314453125,7.704364776611328,-0.11877100169658661
1784194466573359000,0.354359130859375,6.0661702156066895,7.704404830932617,-0.11868800222873688
1784194466583357000,0.36435693359375,6.0661139488220215,7.70444917678833,-0.11868000030517578
1784194466593458200,0.374458251953125,6.066119194030762,7.704444885253906,-0.11865799874067307
1784194466603529000,0.384529052734375,6.066127777099609,7.704439163208008,-0.11862099915742874
1784194466613630200,0.394630126953125,6.066157817840576,7.7044172286987305,-0.11855299770832062
1784194466623701000,0.404700927734375,6.066221237182617,7.704369068145752,-0.11846999824047089
1784194466633741300,0.4147412109375,6.066263198852539,7.704337120056152,-0.11841899901628494
1784194466643842600,0.424842529296875,6.066286087036133,7.704320907592773,-0.11840599775314331
1784194466653913300,0.434913330078125,6.06634521484375,7.704273223876953,-0.11839199811220169
