time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000001,0.150002,-0.000003,-0.000176,25.000278,-0.000641,0.000020,-0.000021,1.570784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000002,-0.250005,0.000006,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150002,1,0
10000,-0.000004,0.387954,-0.014551,-0.000428,25.000595,-0.001321,0.000030,-0.000045,1.570766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000368,0.000005,-0.042188,-0.038760,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030133,3,0
20000,-0.000008,0.611045,-0.023966,-0.000620,25.000717,-0.002187,0.000049,-0.000063,1.570751,0.000001,0.000000,0.000000,0.000000,0.000000,-0.000000,0.002045,0.000010,-0.121112,-0.034440,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094193,3,0
30000,-0.000013,0.863533,-0.030803,-0.000777,25.001163,-0.003213,0.000070,-0.000072,1.570737,0.000001,0.000000,0.000001,0.000000,0.000000,-0.000000,0.000157,0.000016,0.013617,-0.031751,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011140,3,0
40000,-0.000020,1.107376,-0.034144,-0.001064,25.001371,-0.004041,0.000087,-0.000094,1.570736,0.000002,0.000000,0.000001,0.000000,0.000000,-0.000000,0.000275,0.000023,-0.040087,-0.018701,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033915,3,0
50000,-0.000028,1.359297,-0.035367,-0.001249,25.001959,-0.004628,0.000104,-0.000114,1.570727,0.000001,0.000000,0.000002,0.000000,0.000000,-0.000000,0.000038,0.000032,0.014250,-0.007835,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012348,3,0
60000,-0.000038,1.607080,-0.040538,-0.001469,25.002192,-0.005712,0.000118,-0.000128,1.570712,0.000003,0.000000,0.000004,0.000000,0.000000,-0.000000,0.000275,0.000043,-0.019007,-0.039172,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016767,3,0
70000,-0.000049,1.864618,-0.036131,-0.001751,25.003218,-0.006125,0.000125,-0.000139,1.570709,-0.000003,0.000000,0.000001,-0.000000,-0.000000,0.000000,0.000975,0.000055,0.071148,0.038664,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063637,3,0
80000,-0.000062,2.112038,-0.035197,-0.001950,25.003529,-0.006725,0.000130,-0.000159,1.570695,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000127,0.000069,-0.027369,0.009654,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024752,3,0
90000,-0.000077,2.360647,-0.034703,-0.002198,25.003815,-0.007235,0.000149,-0.000181,1.570677,0.000002,0.000000,-0.000001,-0.000000,0.000000,-0.000000,0.000046,0.000084,-0.016366,0.006022,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014935,3,0
