time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000002,0.150003,0.000001,-0.000409,25.000563,0.000373,0.000007,-0.000001,1.570800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000004,-0.250008,-0.000004,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150003,1,0
10000,-0.000008,0.370920,-0.019168,-0.000885,25.001200,0.000709,0.000011,-0.000017,1.570804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001507,0.000011,-0.101833,-0.051137,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072736,3,0
20000,-0.000017,0.602223,-0.009925,-0.001417,25.001863,0.001283,0.000017,-0.000036,1.570812,0.000001,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.001058,0.000022,-0.084210,0.033841,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065493,3,0
30000,-0.000029,0.834634,-0.003553,-0.001859,25.002386,0.001714,0.000031,-0.000049,1.570816,0.000003,0.000000,-0.000001,-0.000000,0.000000,-0.000000,0.001394,0.000036,-0.096852,0.029654,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079235,3,0
40000,-0.000044,1.076819,-0.012583,-0.002296,25.003025,0.001782,0.000049,-0.000060,1.570822,0.000004,0.000000,0.000001,0.000000,0.000000,-0.000000,0.000727,0.000052,-0.050962,-0.051256,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043116,3,0
50000,-0.000062,1.330182,-0.011423,-0.002747,25.003880,0.002132,0.000054,-0.000069,1.570823,0.000003,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000098,0.000072,0.024909,0.007587,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021584,3,0
60000,-0.000082,1.581419,-0.018706,-0.003117,25.004824,0.002237,0.000067,-0.000070,1.570827,0.000003,0.000000,0.000004,0.000000,0.000000,-0.000000,0.000469,0.000093,0.010083,-0.055955,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008895,3,0
70000,-0.000105,1.837494,-0.024372,-0.003527,25.005991,0.002321,0.000080,-0.000088,1.570828,-0.000002,0.000000,0.000007,0.000000,-0.000000,0.000000,0.000842,0.000118,0.057023,-0.049223,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051003,3,0
80000,-0.000132,2.083734,-0.029223,-0.004078,25.006407,0.002217,0.000090,-0.000091,1.570832,0.000002,0.000000,0.000012,0.000000,0.000000,-0.000000,0.000572,0.000146,-0.040033,-0.046999,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036206,3,0
90000,-0.000162,2.334847,-0.031197,-0.004505,25.007376,0.002330,0.000091,-0.000094,1.570849,0.000001,0.000000,0.000015,0.000000,-0.000000,0.000000,0.000090,0.000177,0.011906,-0.021231,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010866,3,0
