time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000003,0.150001,0.000003,-0.000486,25.000233,0.000644,0.000012,-0.000017,1.570794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000005,-0.250005,-0.000006,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150001,1,0
10000,-0.000009,0.342513,-0.019569,-0.000979,25.000435,0.000943,0.000023,-0.000035,1.570782,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.005104,0.000013,-0.201220,-0.052217,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143724,3,0
20000,-0.000017,0.575703,-0.031969,-0.001332,25.000700,0.001419,0.000036,-0.000046,1.570774,0.000001,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000993,0.000022,-0.075671,-0.045518,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058851,3,0
30000,-0.000029,0.805693,-0.038782,-0.001803,25.000797,0.001824,0.000045,-0.000054,1.570770,0.000003,0.000000,0.000001,0.000000,0.000000,-0.000000,0.001785,0.000035,-0.110074,-0.031874,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090052,3,0
40000,-0.000043,1.040075,-0.033011,-0.002202,25.000790,0.002494,0.000047,-0.000070,1.570764,0.000006,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.001599,0.000051,-0.101517,0.032551,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085887,3,0
50000,-0.000061,1.279745,-0.025072,-0.002670,25.000893,0.003171,0.000060,-0.000087,1.570755,0.000009,0.000000,-0.000002,-0.000000,0.000000,-0.000000,0.001260,0.000070,-0.077474,0.052689,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067131,3,0
60000,-0.000081,1.534553,-0.029646,-0.003117,25.001554,0.003614,0.000060,-0.000094,1.570736,0.000007,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000424,0.000092,0.040677,-0.035315,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035882,3,0
70000,-0.000105,1.785050,-0.025549,-0.003603,25.001980,0.004268,0.000060,-0.000114,1.570731,0.000007,0.000000,-0.000003,-0.000000,0.000000,-0.000000,0.000185,0.000117,0.004530,0.035087,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004054,3,0
80000,-0.000131,2.028663,-0.029136,-0.004013,25.001900,0.004489,0.000075,-0.000127,1.570714,0.000013,0.000000,0.000001,-0.000000,0.000000,-0.000000,0.000861,0.000145,-0.067062,-0.035025,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060650,3,0
90000,-0.000160,2.274119,-0.032568,-0.004473,25.001934,0.004610,0.000073,-0.000143,1.570702,0.000020,0.000000,0.000005,-0.000000,0.000000,-0.000000,0.000622,0.000176,-0.052248,-0.036982,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047681,3,0
100000,-0.000193,2.520980,-0.027970,-0.004920,25.002100,0.005698,0.000072,-0.000161,1.570692,0.000026,0.000000,-0.000003,-0.000000,0.000000,-0.000000,0.000660,0.000210,-0.039280,0.052748,0.483304,0.483304,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036116,3,0
110000,-0.000228,2.779333,-0.026748,-0.005406,25.003769,0.006276,0.000083,-0.000162,1.570670,0.000006,0.000000,-0.000005,-0.000000,-0.000000,0.000000,0.001948,0.000247,0.111437,0.014593,0.448354,0.448354,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103110,3,0
120000,-0.000267,3.026061,-0.028354,-0.005861,25.003696,0.006549,0.000094,-0.000181,1.570651,0.000016,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000430,0.000287,-0.047538,-0.022668,0.418359,0.418359,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044224,3,0
130000,-0.000309,3.281559,-0.030968,-0.006339,25.005154,0.006751,0.000109,-0.000186,1.570641,-0.000005,0.000000,0.000009,-0.000000,-0.000000,0.000000,0.001320,0.000330,0.083435,-0.038952,0.392369,0.392369,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077979,3,0
