time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000001,0.149999,0.000002,0.000176,24.999859,0.000455,-0.000021,0.000010,1.570791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000002,-0.250001,-0.000005,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149999,1,0
10000,0.000002,0.336825,0.020109,0.000178,24.999403,0.001051,-0.000044,0.000025,1.570790,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006118,-0.000003,-0.221087,0.053591,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157914,3,0
20000,0.000004,0.584522,0.015405,0.000293,24.999319,0.001295,-0.000085,0.000047,1.570779,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000050,-0.000005,-0.010329,-0.017295,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008034,3,0
30000,0.000006,0.823740,0.007975,0.000340,24.999069,0.001562,-0.000121,0.000062,1.570773,0.000002,-0.000000,0.000001,-0.000000,0.000000,0.000000,0.000636,-0.000007,-0.059237,-0.034741,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048462,3,0
40000,0.000008,1.073689,0.011841,0.000347,24.999025,0.001993,-0.000147,0.000081,1.570770,0.000002,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000065,-0.000009,-0.000269,0.021791,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000227,3,0
50000,0.000010,1.319468,0.007267,0.000375,24.998922,0.002277,-0.000188,0.000098,1.570766,0.000003,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000277,-0.000012,-0.031550,-0.030631,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027338,3,0
60000,0.000013,1.560199,0.010629,0.000429,24.998447,0.003043,-0.000212,0.000107,1.570749,0.000008,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.001001,-0.000014,-0.078538,0.025519,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069280,3,0
70000,0.000015,1.810056,0.014813,0.000406,24.998407,0.003600,-0.000235,0.000117,1.570736,0.000008,-0.000000,-0.000003,0.000000,0.000000,0.000000,0.000190,-0.000017,-0.001202,0.035886,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001075,3,0
80000,0.000017,2.066447,0.011035,0.000393,24.999025,0.003833,-0.000258,0.000129,1.570726,0.000001,-0.000000,0.000001,0.000000,-0.000000,-0.000000,0.000879,-0.000019,0.067003,-0.036798,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060596,3,0
90000,0.000019,2.322472,0.010237,0.000362,24.999622,0.004098,-0.000298,0.000142,1.570708,-0.000008,-0.000000,0.000002,0.000000,-0.000000,-0.000000,0.000737,-0.000021,0.069032,-0.008923,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062998,3,0
100000,0.000021,2.570215,0.010260,0.000378,24.999315,0.004695,-0.000320,0.000148,1.570689,-0.000003,-0.000000,0.000002,0.000000,-0.000000,-0.000000,0.000120,-0.000023,-0.027967,-0.000274,0.483304,0.483304,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025714,3,0
110000,0.000022,2.815947,0.006988,0.000333,24.998808,0.004551,-0.000354,0.000155,1.570678,0.000007,-0.000000,0.000009,0.000000,0.000000,0.000000,0.000769,-0.000024,-0.057040,-0.041776,0.448354,0.448354,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052778,3,0
120000,0.000025,3.071161,0.004150,0.000465,24.999771,0.004517,-0.000391,0.000186,1.570670,-0.000009,-0.000000,0.000018,0.000000,-0.000000,-0.000000,0.001106,-0.000027,0.074933,-0.039096,0.418359,0.418359,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069708,3,0
130000,0.000029,3.328869,0.001829,0.000558,25.001280,0.004492,-0.000412,0.000214,1.570662,-0.000039,-0.000000,0.000026,0.000000,-0.000001,-0.000000,0.002348,-0.000031,0.117893,-0.034362,0.392369,0.392369,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110183,3,0
140000,0.000033,3.581290,-0.000430,0.000591,25.001812,0.004524,-0.000446,0.000239,1.570645,-0.000051,-0.000000,0.000036,0.000000,-0.000001,-0.000000,0.000437,-0.000035,0.039081,-0.035664,0.369667,0.369667,0.388393,1.007739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036673,3,0
150000,0.000036,3.837412,-0.003010,0.000591,25.003311,0.004522,-0.000483,0.000268,1.570635,-0.000086,-0.000000,0.000051,0.000000,-0.000002,-0.000000,0.002012,-0.000038,0.104717,-0.043104,0.349696,0.349696,0.366172,1.007915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098614,3,0
160000,0.000039,4.090067,-0.000706,0.000544,25.004156,0.005538,-0.000517,0.000283,1.570626,-0.000104,-0.000000,0.000036,0.000000,-0.000002,-0.000000,0.000592,-0.000042,0.047369,0.039008,0.332021,0.332021,0.346600,1.008002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044747,3,0
170000,0.000042,4.338718,-0.002802,0.000492,25.003757,0.005420,-0.000541,0.000300,1.570625,-0.000093,-0.000000,0.000053,0.000000,-0.000002,-0.000000,0.000353,-0.000044,-0.026384,-0.039285,0.316298,0.316298,0.329260,1.007991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024993,3,0
180000,0.000044,4.589923,-0.004518,0.000424,25.004265,0.005177,-0.000569,0.000325,1.570612,-0.000104,-0.000000,0.000068,0.000000,-0.000002,-0.000000,0.000266,-0.000046,0.023152,-0.033905,0.302247,0.302247,0.313817,1.007875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021986,3,0
190000,0.000046,4.845271,-0.001994,0.000424,25.006245,0.006259,-0.000590,0.000358,1.570592,-0.000162,-0.000000,0.000043,0.000000,-0.000004,-0.000000,0.002302,-0.000048,0.109884,0.049402,0.289642,0.289642,0.300003,1.007645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104579,3,0
200000,0.000048,5.102417,-0.003808,0.000446,25.009125,0.006094,-0.000613,0.000397,1.570587,-0.000251,-0.000000,0.000065,0.000000,-0.000006,-0.000000,0.003951,-0.000050,0.152700,-0.039269,0.278297,0.278297,0.287598,1.007295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145617,3,0
210000,0.000051,5.354057,-0.001197,0.000498,25.009789,0.007438,-0.000642,0.000416,1.570570,-0.000273,-0.000000,0.000030,0.000000,-0.000007,-0.000000,0.000678,-0.000053,0.034678,0.055290,0.268056,0.268056,0.276421,1.006816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033129,3,0
220000,0.000053,5.609374,-0.000791,0.000458,25.012318,0.007872,-0.000673,0.000460,1.570552,-0.000358,-0.000000,0.000025,0.000000,-0.000009,-0.000000,0.002343,-0.000055,0.120972,0.007404,0.258789,0.258789,0.266321,1.006202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115754,3,0
230000,0.000055,5.863015,-0.001263,0.000433,25.014118,0.008122,-0.000704,0.000496,1.570548,-0.000422,-0.000000,0.000035,0.000000,-0.000011,-0.000000,0.001162,-0.000057,0.084299,-0.012968,0.250388,0.250388,0.257172,1.005446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080781,3,0
240000,0.000057,6.115153,-0.000046,0.000458,25.015350,0.009193,-0.000735,0.000533,1.570547,-0.000463,-0.000000,0.000013,0.000000,-0.000013,-0.000000,0.000508,-0.000059,0.049306,0.027261,0.242759,0.242759,0.248866,1.004541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047311,3,0
250000,0.000059,6.370617,-0.000922,0.000461,25.018461,0.009140,-0.000770,0.000595,1.570539,-0.000583,-0.000000,0.000034,0.000000,-0.000017,-0.000000,0.003016,-0.000062,0.135098,-0.024188,0.235822,0.235822,0.241314,1.003481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129788,3,0
260000,0.000062,6.627604,0.000017,0.000563,25.022720,0.010217,-0.000801,0.000658,1.570524,-0.000754,-0.000001,0.000014,0.000000,-0.000023,-0.000000,0.005141,-0.000065,0.177786,0.021531,0.229509,0.229509,0.234436,1.002258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170986,3,0
270000,0.000065,6.882289,-0.000951,0.000498,25.025629,0.010050,-0.000836,0.000704,1.570515,-0.000877,-0.000001,0.000042,0.000000,-0.000028,-0.000000,0.002421,-0.000067,0.119548,-0.028267,0.223760,0.223760,0.228165,1.000869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115089,3,0
280000,0.000068,7.135587,0.000829,0.000554,25.027744,0.011445,-0.000875,0.000742,1.570498,-0.000969,-0.000001,-0.000007,0.000000,-0.000032,-0.000000,0.001448,-0.000070,0.083500,0.045218,0.218522,0.218522,0.222443,0.999307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080459,3,0
290000,0.000070,7.388315,-0.000191,0.000489,25.029676,0.011150,-0.000911,0.000793,1.570485,-0.001050,-0.000001,0.000030,0.000000,-0.000035,-0.000000,0.000918,-0.000073,0.068727,-0.031452,0.213751,0.213751,0.217219,0.997567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066278,3,0
300000,0.000073,7.643984,-0.000231,0.000546,25.033867,0.011414,-0.000935,0.000881,1.570475,-0.001243,-0.000001,0.000035,0.000000,-0.000044,-0.000000,0.003814,-0.000076,0.153923,-0.004393,0.209407,0.209407,0.212446,0.995645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148551,3,0
310000,0.000075,7.896284,0.000955,0.000463,25.035543,0.012650,-0.000963,0.000932,1.570462,-0.001320,-0.000001,-0.000006,0.000000,-0.000047,-0.000000,0.000680,-0.000078,0.057242,0.030765,0.205453,0.205453,0.208087,0.993536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055282,3,0
320000,0.000076,8.152115,-0.000422,0.000377,25.040255,0.012013,-0.000991,0.001016,1.570460,-0.001550,-0.000001,0.000057,0.000000,-0.000058,-0.000000,0.004582,-0.000079,0.162747,-0.044338,0.201858,0.201858,0.204105,0.991236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157272,3,0
330000,0.000078,8.406674,-0.000697,0.000444,25.044144,0.011994,-0.001012,0.001094,1.570441,-0.001738,-0.000001,0.000074,0.000000,-0.000067,-0.000000,0.002562,-0.000081,0.125536,-0.011912,0.198594,0.198594,0.200469,0.988743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121381,3,0
340000,0.000079,8.658743,-0.001830,0.000421,25.045887,0.011193,-0.001036,0.001133,1.570433,-0.001817,-0.000001,0.000134,0.000000,-0.000070,-0.000000,0.000636,-0.000082,0.049848,-0.038215,0.195635,0.195635,0.197151,0.986053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048223,3,0
350000,0.000081,8.914207,-0.002027,0.000408,25.050863,0.011501,-0.001072,0.001228,1.570415,-0.002077,-0.000002,0.000150,0.000000,-0.000084,-0.000000,0.003920,-0.000084,0.155582,-0.009754,0.192959,0.192959,0.194125,0.983163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150579,3,0
360000,0.000083,9.169120,-0.001373,0.000464,25.055399,0.012357,-0.001108,0.001329,1.570398,-0.002320,-0.000002,0.000121,0.000000,-0.000096,-0.000000,0.003146,-0.000086,0.138616,0.016783,0.190544,0.190544,0.191370,0.980072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134213,3,0
370000,0.000085,9.426634,-0.002531,0.000447,25.062901,0.011613,-0.001138,0.001483,1.570384,-0.002729,-0.000002,0.000196,0.000000,-0.000118,-0.000000,0.008197,-0.000087,0.221598,-0.040847,0.188371,0.188371,0.188863,0.976778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214641,3,0
380000,0.000086,9.680470,-0.000784,0.000432,25.066549,0.013559,-0.001164,0.001557,1.570364,-0.002928,-0.000002,0.000095,0.000000,-0.000129,-0.000000,0.002161,-0.000089,0.103162,0.052332,0.186424,0.186424,0.186586,0.973281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099957,3,0
390000,0.000088,9.937512,0.001049,0.000483,25.073757,0.015559,-0.001195,0.001710,1.570350,-0.003347,-0.000002,-0.000016,0.000000,-0.000153,-0.000000,0.007419,-0.000091,0.207110,0.055098,0.184687,0.184687,0.184522,0.969579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200735,3,0
400000,0.000089,10.194615,-0.000044,0.000394,25.081367,0.014525,-0.001220,0.001875,1.570332,-0.003788,-0.000003,0.000070,0.000000,-0.000179,-0.000000,0.007292,-0.000092,0.208420,-0.041114,0.183144,0.183144,0.182656,0.965674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202058,3,0
410000,0.000090,10.452386,-0.001219,0.000368,25.089893,0.013520,-0.001243,0.002056,1.570322,-0.004296,-0.000003,0.000167,0.000000,-0.000209,-0.000000,0.008827,-0.000093,0.229547,-0.043898,0.181784,0.181784,0.180971,0.961565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222592,3,0
420000,0.000091,10.709017,-0.001852,0.000382,25.097128,0.013263,-0.001269,0.002224,1.570315,-0.004734,-0.000003,0.000226,0.000000,-0.000236,-0.000000,0.005966,-0.000094,0.190359,-0.025903,0.180592,0.180592,0.179456,0.957254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184629,3,0
430000,0.000093,10.965738,-0.002316,0.000416,25.104572,0.013177,-0.001309,0.002401,1.570308,-0.005195,-0.000004,0.000275,0.000000,-0.000265,-0.000000,0.006032,-0.000095,0.192081,-0.020278,0.179557,0.179557,0.178097,0.952742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186334,3,0
440000,0.000094,11.222557,-0.003242,0.000397,25.112366,0.012417,-0.001335,0.002578,1.570297,-0.005678,-0.000004,0.000364,0.000000,-0.000297,-0.000000,0.006278,-0.000097,0.193709,-0.036056,0.178669,0.178669,0.176883,0.948031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.187941,3,0
450000,0.000095,11.480652,-0.002651,0.000382,25.121742,0.013525,-0.001356,0.002801,1.570296,-0.006287,-0.000004,0.000323,0.000000,-0.000337,-0.000000,0.008971,-0.000098,0.234998,0.015768,0.177918,0.177918,0.175803,0.943124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228029,3,0
460000,0.000096,11.734125,-0.002448,0.000404,25.125154,0.014189,-0.001386,0.002886,1.570287,-0.006491,-0.000005,0.000318,0.000000,-0.000351,-0.000000,0.000940,-0.000099,0.076203,0.002109,0.177294,0.177294,0.174847,0.938025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073952,3,0
470000,0.000097,11.990699,-0.002572,0.000389,25.132788,0.014092,-0.001425,0.003086,1.570267,-0.006994,-0.000005,0.000343,0.000000,-0.000386,-0.000000,0.005285,-0.000100,0.180516,-0.009245,0.176788,0.176788,0.174006,0.932737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175198,3,0
480000,0.000098,12.245637,-0.002498,0.000367,25.138250,0.014412,-0.001449,0.003219,1.570264,-0.007347,-0.000005,0.000350,0.000000,-0.000411,-0.000000,0.002435,-0.000101,0.122655,-0.002446,0.176392,0.176392,0.173271,0.927264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119049,3,0
490000,0.000097,12.504225,-0.000805,0.000252,25.148880,0.016630,-0.001486,0.003491,1.570251,-0.008078,-0.000006,0.000189,0.000000,-0.000464,-0.000000,0.010207,-0.000100,0.245362,0.053748,0.176098,0.176098,0.172634,0.921610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238161,3,0
500000,0.000095,12.760572,-0.000807,0.000103,25.156395,0.016657,-0.001526,0.003693,1.570246,-0.008587,-0.000006,0.000207,0.000000,-0.000502,-0.000000,0.004441,-0.000098,0.165577,-0.005961,0.175899,0.175899,0.172087,0.915781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160723,3,0
510000,0.000093,13.015304,0.000227,0.000047,25.161509,0.018314,-0.001561,0.003826,1.570238,-0.008929,-0.000007,0.000111,0.000000,-0.000529,-0.000000,0.002032,-0.000096,0.107944,0.030151,0.175787,0.175787,0.171622,0.909781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104782,3,0
520000,0.000091,13.274268,-0.000519,0.000016,25.172865,0.017504,-0.001591,0.004135,1.570232,-0.009749,-0.000007,0.000218,0.000000,-0.000592,-0.000000,0.010345,-0.000093,0.250740,-0.032711,0.175755,0.175755,0.171234,0.903618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243395,3,0
530000,0.000088,13.529253,0.000111,-0.000019,25.178350,0.018475,-0.001627,0.004288,1.570221,-0.010122,-0.000007,0.000164,0.000000,-0.000622,-0.000000,0.002032,-0.000090,0.110934,0.015848,0.175799,0.175799,0.170914,0.897295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107684,3,0
540000,0.000084,13.785559,-0.000240,-0.000079,25.185768,0.018009,-0.001652,0.004494,1.570219,-0.010655,-0.000008,0.000230,0.000000,-0.000665,-0.000000,0.003899,-0.000087,0.154079,-0.018920,0.175910,0.175910,0.170658,0.890822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149562,3,0
