time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000004,0.150003,-0.000001,-0.000738,25.000450,-0.000231,0.000002,0.000008,1.570786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000007,-0.250007,0.000002,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150003,1,0
10000,-0.000014,0.342516,0.000454,-0.001489,25.000587,-0.000072,0.000008,0.000001,1.570782,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.004820,0.000019,-0.201223,0.001216,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143726,3,0
20000,-0.000028,0.562452,-0.003095,-0.002217,25.000858,-0.000153,0.000008,-0.000011,1.570787,0.000002,0.000000,0.000000,0.000000,0.000000,-0.000000,0.002394,0.000036,-0.135313,-0.013006,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105237,3,0
30000,-0.000047,0.816550,-0.017350,-0.002934,25.001587,-0.000347,0.000017,-0.000006,1.570774,0.000001,0.000000,0.000001,0.000000,0.000000,-0.000000,0.000648,0.000057,0.022447,-0.066502,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018364,3,0
40000,-0.000071,1.049269,-0.024021,-0.003661,25.001705,-0.000714,0.000035,-0.000002,1.570775,0.000005,0.000000,0.000002,0.000000,0.000000,-0.000000,0.001976,0.000084,-0.112384,-0.037747,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095081,3,0
50000,-0.000099,1.287720,-0.027882,-0.004360,25.001858,-0.000683,0.000040,0.000001,1.570769,0.000008,0.000000,0.000003,0.000000,0.000000,-0.000000,0.001178,0.000114,-0.086678,-0.025681,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075106,3,0
60000,-0.000133,1.534568,-0.032329,-0.005210,25.002258,-0.001039,0.000040,-0.000011,1.570775,0.000010,0.000000,0.000005,0.000000,0.000000,-0.000000,0.000274,0.000151,-0.026947,-0.033978,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023771,3,0
70000,-0.000173,1.793467,-0.028973,-0.006053,25.003521,-0.000841,0.000041,-0.000002,1.570768,0.000003,0.000000,0.000003,-0.000000,-0.000000,0.000000,0.001177,0.000194,0.084021,0.029108,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075152,3,0
80000,-0.000218,2.045793,-0.027420,-0.006805,25.004354,-0.000697,0.000054,-0.000001,1.570767,0.000001,0.000000,0.000001,-0.000000,-0.000000,0.000000,0.000120,0.000241,0.023899,0.015045,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021615,3,0
90000,-0.000269,2.303677,-0.032751,-0.007645,25.005695,-0.001284,0.000062,-0.000009,1.570764,-0.000011,0.000000,0.000008,-0.000000,-0.000000,0.000000,0.001704,0.000295,0.089628,-0.056540,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081793,3,0
100000,-0.000325,2.557800,-0.030853,-0.008429,25.006802,-0.001040,0.000079,-0.000016,1.570755,-0.000018,0.000000,0.000005,-0.000000,-0.000000,0.000000,0.000464,0.000353,0.050398,0.022167,0.483304,0.483304,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046339,3,0
110000,-0.000387,2.807505,-0.032113,-0.009296,25.007435,-0.001175,0.000094,-0.000022,1.570753,-0.000018,0.000000,0.000008,-0.000000,-0.000000,0.000000,0.000042,0.000418,-0.004948,-0.015719,0.448354,0.448354,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004594,3,0
120000,-0.000454,3.059233,-0.029470,-0.010154,25.008236,-0.000883,0.000099,-0.000014,1.570742,-0.000023,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000286,0.000488,0.023648,0.035965,0.418359,0.418359,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022003,3,0
130000,-0.000527,3.316506,-0.031156,-0.010915,25.010189,-0.001199,0.000103,-0.000003,1.570730,-0.000051,0.000000,0.000006,-0.000000,-0.000001,0.000000,0.001972,0.000563,0.109852,-0.024316,0.392369,0.392369,0.413797,1.007482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102669,3,0
140000,-0.000605,3.568552,-0.034696,-0.011784,25.011122,-0.001997,0.000120,-0.000008,1.570721,-0.000060,0.000001,0.000022,-0.000000,-0.000001,0.000000,0.000617,0.000645,0.031471,-0.054471,0.369666,0.369666,0.388393,1.007740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029538,3,0
150000,-0.000687,3.826667,-0.037229,-0.012466,25.013622,-0.002755,0.000125,0.000002,1.570725,-0.000106,0.000001,0.000035,-0.000000,-0.000002,0.000000,0.003221,0.000730,0.137236,-0.041153,0.349695,0.349695,0.366172,1.007916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129239,3,0
160000,-0.000775,4.078919,-0.037016,-0.013288,25.014713,-0.002781,0.000128,-0.000001,1.570725,-0.000121,0.000001,0.000034,-0.000000,-0.000002,0.000000,0.000232,0.000820,0.038127,0.004188,0.332021,0.332021,0.346600,1.008003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036025,3,0
170000,-0.000867,4.328262,-0.035146,-0.014019,25.015015,-0.002299,0.000131,-0.000001,1.570712,-0.000114,0.000002,0.000019,-0.000000,-0.000002,0.000000,0.000226,0.000915,-0.015347,0.034580,0.316297,0.316297,0.329260,1.007993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014564,3,0
180000,-0.000963,4.579103,-0.037419,-0.014717,25.015770,-0.002826,0.000144,-0.000003,1.570706,-0.000121,0.000002,0.000040,-0.000000,-0.000002,0.000000,0.000322,0.001014,0.013612,-0.043036,0.302246,0.302246,0.313817,1.007877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012962,3,0
190000,-0.001064,4.831250,-0.038993,-0.015428,25.017134,-0.003473,0.000156,-0.000005,1.570709,-0.000142,0.000003,0.000056,-0.000000,-0.000003,0.000000,0.000419,0.001118,0.041067,-0.030895,0.289641,0.289641,0.300003,1.007647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039099,3,0
200000,-0.001169,5.084546,-0.036632,-0.016211,25.019047,-0.002768,0.000161,0.000001,1.570701,-0.000182,0.000003,0.000027,-0.000000,-0.000004,0.000000,0.001115,0.001226,0.067211,0.050022,0.278295,0.278296,0.287598,1.007298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064104,3,0
210000,-0.001278,5.338862,-0.036489,-0.016895,25.021505,-0.002620,0.000178,0.000021,1.570699,-0.000241,0.000004,0.000025,-0.000000,-0.000006,0.000000,0.001356,0.001338,0.092201,0.003682,0.268054,0.268054,0.276421,1.006819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088091,3,0
220000,-0.001393,5.590664,-0.037209,-0.017680,25.022850,-0.002967,0.000190,0.000037,1.570690,-0.000266,0.000005,0.000035,-0.000000,-0.000006,0.000000,0.000253,0.001456,0.036650,-0.015616,0.258787,0.258787,0.266321,1.006206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035097,3,0
230000,-0.001512,5.847682,-0.036851,-0.018453,25.026894,-0.002898,0.000201,0.000074,1.570676,-0.000390,0.000006,0.000029,-0.000000,-0.000010,0.000000,0.004233,0.001578,0.162533,0.009076,0.250386,0.250386,0.257172,1.005450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155758,3,0
240000,-0.001635,6.105394,-0.038648,-0.019215,25.031580,-0.003828,0.000216,0.000117,1.570671,-0.000541,0.000008,0.000063,-0.000000,-0.000016,0.000000,0.005692,0.001704,0.183779,-0.042630,0.242756,0.242756,0.248866,1.004546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176351,3,0
250000,-0.001763,6.357497,-0.039868,-0.019976,25.033283,-0.004666,0.000218,0.000137,1.570676,-0.000582,0.000010,0.000089,-0.000000,-0.000017,0.000000,0.000467,0.001836,0.045295,-0.029317,0.235819,0.235819,0.241314,1.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043550,3,0
