time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000002,0.149997,-0.000001,-0.000277,24.999592,-0.000296,0.000006,0.000005,1.570803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000003,-0.249998,0.000003,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149997,1,0
10000,-0.000005,0.359540,0.015762,-0.000596,24.999060,-0.000480,0.000023,0.000009,1.570811,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.002570,0.000008,-0.141565,0.042047,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101115,3,0
20000,-0.000011,0.593349,0.021346,-0.000871,24.998711,-0.000865,0.000039,0.000013,1.570816,0.000001,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000738,0.000014,-0.072799,0.020508,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056618,3,0
30000,-0.000019,0.849035,0.018611,-0.001167,24.998693,-0.001265,0.000057,0.000022,1.570826,0.000001,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000155,0.000023,0.031338,-0.012702,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025638,3,0
40000,-0.000029,1.101205,0.030164,-0.001565,24.998474,-0.001138,0.000067,0.000014,1.570843,0.000000,0.000000,-0.000002,-0.000000,-0.000000,0.000000,0.000617,0.000034,0.014200,0.065509,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012014,3,0
50000,-0.000042,1.345958,0.030348,-0.001921,24.998104,-0.001501,0.000080,0.000017,1.570846,0.000002,0.000000,-0.000002,-0.000000,0.000000,-0.000000,0.000222,0.000048,-0.039180,0.001325,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033949,3,0
60000,-0.000057,1.592930,0.028863,-0.002297,24.997707,-0.001995,0.000089,0.000014,1.570866,0.000003,0.000000,-0.000001,-0.000000,0.000000,-0.000000,0.000114,0.000065,-0.025502,-0.011221,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022496,3,0
70000,-0.000075,1.847718,0.029793,-0.002690,24.997784,-0.002039,0.000109,0.000016,1.570877,-0.000000,0.000000,-0.000002,-0.000000,-0.000000,0.000000,0.000320,0.000084,0.045592,0.008228,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040779,3,0
80000,-0.000094,2.092897,0.031881,-0.002933,24.997162,-0.002064,0.000122,0.000024,1.570888,0.000005,0.000000,-0.000004,-0.000000,0.000000,-0.000000,0.000441,0.000104,-0.050165,0.020330,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045369,3,0
90000,-0.000116,2.351803,0.032036,-0.003303,24.997799,-0.002403,0.000144,0.000030,1.570899,-0.000008,0.000000,-0.000004,-0.000000,-0.000000,0.000000,0.001590,0.000128,0.102241,0.001908,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093304,3,0
100000,-0.000140,2.603570,0.035693,-0.003553,24.997723,-0.002501,0.000153,0.000025,1.570914,-0.000012,0.000000,-0.000011,-0.000000,-0.000000,0.000000,0.000354,0.000152,0.022238,0.042762,0.483303,0.483303,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020448,3,0
110000,-0.000165,2.858675,0.039580,-0.003883,24.998159,-0.002348,0.000168,0.000037,1.570921,-0.000024,0.000000,-0.000019,-0.000000,-0.000000,0.000000,0.001099,0.000179,0.068656,0.049239,0.448353,0.448353,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063526,3,0
120000,-0.000193,3.113672,0.038404,-0.004271,24.998703,-0.002625,0.000193,0.000050,1.570941,-0.000040,0.000000,-0.000016,-0.000000,-0.000001,0.000000,0.000841,0.000208,0.071973,-0.015601,0.418358,0.418358,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066955,3,0
130000,-0.000224,3.362087,0.036544,-0.004579,24.998175,-0.003062,0.000206,0.000056,1.570958,-0.000034,0.000000,-0.000009,-0.000000,-0.000000,0.000000,0.000199,0.000239,-0.023999,-0.026572,0.392369,0.392369,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022430,3,0
140000,-0.000255,3.619779,0.039389,-0.004850,24.999567,-0.002702,0.000228,0.000057,1.570967,-0.000071,0.000000,-0.000022,-0.000000,-0.000001,0.000000,0.002758,0.000272,0.125170,0.044458,0.369666,0.369666,0.388393,1.007739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117458,3,0
150000,-0.000288,3.872475,0.041489,-0.005055,24.999943,-0.002400,0.000250,0.000063,1.570978,-0.000087,0.000000,-0.000034,-0.000000,-0.000002,0.000000,0.000528,0.000306,0.046375,0.034871,0.349695,0.349695,0.366172,1.007915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043673,3,0
160000,-0.000322,4.125354,0.039882,-0.005300,25.000443,-0.002999,0.000265,0.000076,1.570983,-0.000106,0.000001,-0.000024,-0.000000,-0.000002,0.000000,0.000545,0.000341,0.052101,-0.027354,0.332020,0.332020,0.346600,1.008002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049219,3,0
