time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000002,0.150000,0.000003,0.000302,25.000055,0.000718,0.000003,0.000002,1.570771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000003,-0.250003,-0.000007,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,1,0
10000,0.000005,0.359550,0.015675,0.000546,25.000113,0.001624,0.000016,0.000019,1.570748,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.002568,-0.000007,-0.141578,0.041749,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101124,3,0
20000,0.000011,0.593368,0.008742,0.000858,25.000212,0.002491,0.000027,0.000023,1.570724,0.000001,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000766,-0.000014,-0.072823,-0.025510,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056637,3,0
30000,0.000017,0.856297,0.011250,0.001029,25.000666,0.003407,0.000044,0.000043,1.570696,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000706,-0.000021,0.071058,0.011540,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058133,3,0
40000,0.000025,1.104310,0.002569,0.001291,25.000803,0.004170,0.000060,0.000061,1.570670,0.000000,-0.000000,0.000001,-0.000000,-0.000000,-0.000000,0.000359,-0.000030,-0.012966,-0.049412,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010969,3,0
50000,0.000036,1.356633,0.001053,0.001640,25.001085,0.004783,0.000070,0.000079,1.570647,-0.000001,-0.000000,0.000002,-0.000000,-0.000000,-0.000000,0.000059,-0.000042,0.017326,-0.010420,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015013,3,0
60000,0.000050,1.604721,0.006063,0.001995,25.001284,0.005622,0.000084,0.000083,1.570628,0.000000,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000248,-0.000056,-0.016333,0.037946,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014408,3,0
70000,0.000064,1.854102,0.009872,0.002233,25.001394,0.006533,0.000104,0.000101,1.570613,0.000001,-0.000000,-0.000003,0.000000,0.000000,0.000000,0.000160,-0.000072,-0.005996,0.032389,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005364,3,0
80000,0.000080,2.112013,0.011306,0.002460,25.002365,0.007517,0.000123,0.000108,1.570593,-0.000008,-0.000000,-0.000004,0.000000,-0.000000,-0.000000,0.001053,-0.000089,0.082561,0.013110,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074667,3,0
90000,0.000099,2.365824,0.007322,0.002792,25.002914,0.008026,0.000138,0.000126,1.570577,-0.000013,-0.000000,0.000001,0.000000,-0.000000,-0.000000,0.000567,-0.000108,0.043310,-0.043216,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039524,3,0
