time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000004,0.149996,0.000004,-0.000715,24.999369,0.000907,0.000001,0.000005,1.570812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000007,-0.249996,-0.000009,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149996,1,0
10000,-0.000013,0.353858,-0.006464,-0.001452,24.998753,0.001639,0.000003,0.000020,1.570829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003134,0.000019,-0.161440,-0.017291,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115311,3,0
20000,-0.000028,0.571250,-0.006612,-0.002205,24.997913,0.002572,-0.000002,0.000015,1.570834,0.000002,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.002787,0.000035,-0.146626,-0.000637,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114035,3,0
30000,-0.000046,0.798404,-0.010233,-0.002834,24.997007,0.003467,-0.000005,0.000025,1.570844,0.000004,0.000000,0.000000,0.000000,0.000000,-0.000000,0.002184,0.000056,-0.125463,-0.017056,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102641,3,0
40000,-0.000069,1.046113,-0.007230,-0.003590,24.996670,0.004358,-0.000003,0.000033,1.570854,0.000004,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000069,0.000082,-0.014667,0.016766,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012409,3,0
50000,-0.000096,1.290242,-0.014447,-0.004160,24.996155,0.004781,0.000003,0.000028,1.570869,0.000006,0.000000,0.000002,0.000000,0.000000,-0.000000,0.000608,0.000111,-0.043705,-0.048404,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037870,3,0
60000,-0.000128,1.536734,-0.012734,-0.004906,24.995649,0.005699,-0.000005,0.000030,1.570888,0.000008,0.000000,0.000001,-0.000000,0.000000,-0.000000,0.000150,0.000145,-0.029402,0.012678,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025937,3,0
70000,-0.000164,1.784844,-0.017850,-0.005589,24.995255,0.006176,-0.000010,0.000030,1.570890,0.000009,0.000000,0.000005,0.000000,0.000000,-0.000000,0.000341,0.000184,-0.017464,-0.044802,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015622,3,0
80000,-0.000205,2.028408,-0.018043,-0.006179,24.994297,0.006823,-0.000022,0.000034,1.570898,0.000016,0.000000,0.000005,-0.000000,0.000000,-0.000000,0.000673,0.000226,-0.066780,-0.002515,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060395,3,0
90000,-0.000249,2.272072,-0.021815,-0.006801,24.993380,0.007125,-0.000025,0.000044,1.570908,0.000025,0.000000,0.000010,-0.000000,0.000000,-0.000000,0.001036,0.000273,-0.071788,-0.040860,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065513,3,0
