time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000002,0.149991,0.000001,0.000295,24.998596,0.000209,0.000005,0.000014,1.570806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006249,-0.000003,-0.249988,-0.000002,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149991,1,0
10000,0.000006,0.399284,0.000441,0.000671,24.997509,0.000372,0.000014,0.000025,1.570811,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000001,-0.000008,-0.002388,0.001163,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001706,3,0
20000,0.000012,0.646331,0.016288,0.000986,24.996372,0.000410,0.000025,0.000032,1.570832,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000431,-0.000016,-0.013123,0.058090,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010206,3,0
30000,0.000022,0.881506,0.026459,0.001418,24.995066,0.000411,0.000039,0.000047,1.570842,0.000002,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.001195,-0.000027,-0.081250,0.047438,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066470,3,0
40000,0.000034,1.125579,0.031360,0.001829,24.993830,0.000558,0.000045,0.000047,1.570861,0.000003,-0.000000,-0.000002,0.000000,0.000000,0.000000,0.000310,-0.000040,-0.038105,0.027732,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032239,3,0
50000,0.000049,1.374991,0.031416,0.002287,24.992702,0.000440,0.000049,0.000049,1.570880,0.000003,-0.000000,-0.000002,0.000000,0.000000,0.000000,0.000002,-0.000057,-0.003861,0.000348,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003346,3,0
60000,0.000068,1.630202,0.036407,0.002748,24.991858,0.000630,0.000069,0.000057,1.570892,0.000000,-0.000000,-0.000004,0.000000,-0.000000,-0.000000,0.000508,-0.000077,0.044922,0.038175,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039627,3,0
70000,0.000089,1.885191,0.031947,0.003233,24.991020,0.000279,0.000081,0.000055,1.570905,-0.000004,-0.000000,-0.000001,0.000000,-0.000000,-0.000000,0.000565,-0.000100,0.048146,-0.038619,0.633370,0.633370,0.693801,1.004689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043064,3,0
80000,0.000114,2.136221,0.030484,0.003624,24.989985,0.000093,0.000094,0.000062,1.570916,-0.000005,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000051,-0.000126,0.011833,-0.014111,0.573673,0.573673,0.622594,1.005261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010702,3,0
90000,0.000140,2.382578,0.027280,0.003980,24.988483,0.000028,0.000096,0.000071,1.570921,0.000000,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000423,-0.000153,-0.040398,-0.034067,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036867,3,0
100000,0.000169,2.636577,0.031187,0.004390,24.987906,0.000305,0.000097,0.000075,1.570933,-0.000008,-0.000000,-0.000002,0.000000,-0.000000,-0.000000,0.000715,-0.000184,0.051201,0.045336,0.483304,0.483304,0.517162,1.006302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047077,3,0
110000,0.000200,2.886146,0.029349,0.004701,24.986794,0.000275,0.000107,0.000072,1.570947,-0.000007,-0.000000,0.000002,0.000000,-0.000000,-0.000000,0.000085,-0.000216,-0.004003,-0.023168,0.448354,0.448354,0.477121,1.006755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003709,3,0
120000,0.000233,3.137730,0.029222,0.004995,24.986082,0.000407,0.000115,0.000077,1.570964,-0.000012,-0.000000,0.000002,0.000000,-0.000000,-0.000000,0.000095,-0.000250,0.024743,-0.001777,0.418359,0.418359,0.443071,1.007151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023019,3,0
