time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000003,0.150003,0.000001,0.000533,25.000513,0.000139,0.000008,-0.000008,1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000005,-0.250008,-0.000001,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150003,1,0
10000,0.000010,0.359558,0.005024,0.001034,25.000998,0.000223,0.000014,-0.000019,1.570799,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.002405,-0.000014,-0.141590,0.013389,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101132,3,0
20000,0.000020,0.575710,0.011727,0.001555,25.001183,0.000247,0.000022,-0.000033,1.570798,0.000002,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.003082,-0.000025,-0.152359,0.024570,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.118494,3,0
30000,0.000032,0.805704,0.019861,0.001983,25.001547,0.000662,0.000030,-0.000054,1.570793,0.000004,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.001841,-0.000039,-0.110088,0.037923,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090063,3,0
40000,0.000049,1.043154,0.020024,0.002599,25.001932,0.000735,0.000029,-0.000057,1.570788,0.000006,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000940,-0.000058,-0.081660,0.000879,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069087,3,0
50000,0.000069,1.298347,0.016359,0.003076,25.002724,0.000924,0.000032,-0.000074,1.570774,0.000004,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000301,-0.000080,0.038708,-0.024479,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033541,3,0
60000,0.000092,1.550980,0.017164,0.003527,25.003481,0.001064,0.000034,-0.000087,1.570776,0.000003,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000077,-0.000105,0.022054,0.006088,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019454,3,0
70000,0.000119,1.793468,0.013331,0.004031,25.003675,0.001096,0.000041,-0.000109,1.570762,0.000009,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000926,-0.000133,-0.071556,-0.033267,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064003,3,0
80000,0.000148,2.040095,0.011396,0.004525,25.004057,0.000898,0.000052,-0.000124,1.570757,0.000012,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000245,-0.000164,-0.035741,-0.018746,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032324,3,0
90000,0.000181,2.286312,0.013320,0.005053,25.004410,0.001150,0.000062,-0.000132,1.570747,0.000018,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000355,-0.000199,-0.043825,0.020335,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039994,3,0
