time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000001,0.150002,0.000001,-0.000250,25.000378,0.000188,0.000013,-0.000009,1.570812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000002,-0.250006,-0.000002,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150002,1,0
10000,-0.000005,0.348195,0.004930,-0.000533,25.000612,0.000491,0.000021,-0.000010,1.570825,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.003933,0.000007,-0.181344,0.013130,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129527,3,0
20000,-0.000009,0.562450,-0.004631,-0.000733,25.000721,0.000434,0.000028,-0.000015,1.570831,0.000002,0.000000,0.000000,0.000000,0.000000,-0.000000,0.003504,0.000012,-0.160871,-0.035072,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125114,3,0
30000,-0.000017,0.791236,0.004654,-0.001089,25.000935,0.000710,0.000042,-0.000024,1.570828,0.000004,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.002102,0.000020,-0.116702,0.043294,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095474,3,0
40000,-0.000026,1.030908,0.001590,-0.001352,25.001324,0.000692,0.000050,-0.000024,1.570836,0.000006,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000678,0.000030,-0.067185,-0.017396,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056841,3,0
50000,-0.000037,1.271806,0.002720,-0.001662,25.001507,0.000877,0.000070,-0.000037,1.570834,0.000009,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000682,0.000042,-0.068313,0.007468,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059193,3,0
60000,-0.000049,1.513498,0.001960,-0.001888,25.001701,0.001080,0.000076,-0.000042,1.570836,0.000013,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000739,0.000055,-0.070667,-0.005900,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062337,3,0
70000,-0.000063,1.762025,0.000808,-0.002191,25.002237,0.001027,0.000095,-0.000054,1.570851,0.000014,0.000000,0.000001,-0.000000,0.000000,-0.000000,0.000045,0.000071,-0.014176,-0.010062,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012680,3,0
80000,-0.000079,2.017346,0.004450,-0.002402,25.003311,0.001430,0.000100,-0.000063,1.570860,0.000009,0.000000,-0.000003,-0.000000,0.000000,-0.000000,0.000645,0.000087,0.055354,0.034988,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050062,3,0
90000,-0.000096,2.267282,0.009108,-0.002625,25.003956,0.002150,0.000106,-0.000067,1.570861,0.000009,0.000000,-0.000009,-0.000000,0.000000,-0.000000,0.000367,0.000105,-0.001189,0.049291,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001089,3,0
