time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000004,0.150001,0.000003,-0.000616,25.000193,0.000799,0.000003,0.000022,1.570814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000006,-0.250004,-0.000008,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150001,1,0
10000,-0.000011,0.359554,0.028336,-0.001184,25.000521,0.001697,0.000000,0.000032,1.570822,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.002980,0.000016,-0.141583,0.075510,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101128,3,0
20000,-0.000022,0.575701,0.029486,-0.001726,25.000578,0.002310,0.000016,0.000038,1.570823,0.000002,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.003011,0.000028,-0.152348,0.004132,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.118486,3,0
30000,-0.000037,0.791227,0.028982,-0.002294,25.000444,0.003197,0.000026,0.000048,1.570826,0.000005,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.004902,0.000045,-0.189587,-0.002501,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155102,3,0
40000,-0.000055,1.037017,0.022147,-0.002796,25.000923,0.003855,0.000025,0.000056,1.570835,0.000006,0.000000,0.000001,0.000000,0.000000,-0.000000,0.000314,0.000065,-0.027413,-0.038940,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023192,3,0
50000,-0.000076,1.274441,0.017160,-0.003240,25.000832,0.004445,0.000024,0.000064,1.570842,0.000010,0.000000,0.000002,0.000000,0.000000,-0.000000,0.001443,0.000087,-0.094295,-0.033523,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081706,3,0
60000,-0.000101,1.529875,0.021281,-0.003861,25.001698,0.005461,0.000028,0.000083,1.570848,0.000007,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000451,0.000114,0.045979,0.031141,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040559,3,0
70000,-0.000129,1.776673,0.026036,-0.004298,25.002056,0.006347,0.000035,0.000097,1.570855,0.000010,0.000000,-0.000003,-0.000000,0.000000,-0.000000,0.000382,0.000144,-0.030553,0.040595,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027328,3,0
80000,-0.000160,2.017287,0.022812,-0.004853,25.001881,0.007014,0.000041,0.000113,1.570866,0.000020,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.001612,0.000177,-0.098444,-0.031766,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089032,3,0
90000,-0.000195,2.267214,0.022996,-0.005388,25.002480,0.007940,0.000052,0.000120,1.570873,0.000020,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000214,-0.001115,0.001117,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001036,3,0
100000,-0.000234,2.516238,0.020596,-0.005930,25.002954,0.008530,0.000052,0.000141,1.570873,0.000022,0.000000,0.000005,-0.000000,0.000000,-0.000000,0.000151,0.000255,-0.012501,-0.028871,0.483304,0.483304,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011497,3,0
110000,-0.000276,2.761583,0.020666,-0.006407,25.002737,0.009272,0.000051,0.000155,1.570884,0.000033,0.000000,0.000005,-0.000000,0.000000,-0.000000,0.000607,0.000298,-0.062739,-0.000278,0.448354,0.448354,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058051,3,0
120000,-0.000322,3.019243,0.025117,-0.007037,25.004528,0.010794,0.000059,0.000167,1.570884,0.000009,0.000000,-0.000008,-0.000000,-0.000000,0.000000,0.002390,0.000346,0.109374,0.058896,0.418359,0.418359,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101748,3,0
130000,-0.000372,3.273895,0.028481,-0.007535,25.005938,0.012261,0.000072,0.000177,1.570892,-0.000009,0.000000,-0.000020,-0.000000,-0.000000,0.000000,0.001115,0.000398,0.070365,0.047079,0.392370,0.392370,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065764,3,0
140000,-0.000425,3.529750,0.031838,-0.008082,25.007608,0.013595,0.000077,0.000191,1.570894,-0.000036,0.000000,-0.000034,-0.000000,-0.000001,0.000000,0.001769,0.000452,0.094004,0.049848,0.369667,0.369667,0.388393,1.007739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088214,3,0
