time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000002,0.150001,0.000000,0.000353,25.000151,0.000114,0.000005,0.000008,1.570808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000004,-0.250004,-0.000001,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150001,1,0
10000,0.000006,0.365231,0.001469,0.000679,25.000277,0.000404,0.000002,0.000001,1.570812,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.001765,-0.000009,-0.121701,0.003906,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086927,3,0
20000,0.000012,0.593370,0.010659,0.000962,25.000450,0.000579,0.000015,0.000007,1.570819,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.001392,-0.000016,-0.098387,0.033674,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076518,3,0
30000,0.000021,0.830992,0.000373,0.001366,25.000616,0.000474,0.000015,0.000015,1.570825,0.000002,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000934,-0.000026,-0.068101,-0.048020,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055714,3,0
40000,0.000032,1.079841,-0.004606,0.001639,25.000967,0.000470,0.000021,0.000018,1.570837,0.000003,-0.000000,0.000001,-0.000000,0.000000,0.000000,0.000117,-0.000038,-0.007540,-0.028230,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006379,3,0
50000,0.000044,1.316856,0.002690,0.001861,25.000826,0.000730,0.000026,0.000024,1.570850,0.000007,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.001703,-0.000051,-0.097361,0.048559,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084363,3,0
60000,0.000058,1.557915,0.005912,0.002189,25.000704,0.000907,0.000034,0.000026,1.570854,0.000011,-0.000000,-0.000002,0.000000,0.000000,0.000000,0.000936,-0.000066,-0.075949,0.024611,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066996,3,0
70000,0.000074,1.816431,-0.000514,0.002490,25.001642,0.000850,0.000041,0.000022,1.570871,0.000005,-0.000000,0.000002,0.000000,0.000000,0.000000,0.001425,-0.000083,0.080572,-0.055681,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072066,3,0
80000,0.000093,2.074146,-0.003489,0.002820,25.002714,0.000797,0.000044,0.000020,1.570878,-0.000003,-0.000000,0.000005,0.000000,-0.000000,-0.000000,0.001100,-0.000102,0.080472,-0.028761,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072778,3,0
90000,0.000113,2.327796,-0.002733,0.003162,25.003386,0.001113,0.000049,0.000031,1.570878,-0.000009,-0.000000,0.000004,0.000000,-0.000000,-0.000000,0.000270,-0.000124,0.041415,0.007921,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037795,3,0
