time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000012,0.149999,0.000001,0.002024,24.999784,0.000146,0.000001,0.000001,1.570810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000020,-0.250000,-0.000001,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149999,1,0
10000,0.000038,0.376586,-0.016240,0.004046,24.999817,0.000340,-0.000001,-0.000001,1.570818,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000995,-0.000053,-0.081936,-0.043317,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058524,3,0
20000,0.000076,0.611031,-0.022107,0.006040,24.999653,0.000541,0.000009,0.000001,1.570823,0.000001,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000691,-0.000098,-0.069975,-0.021531,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054422,3,0
30000,0.000128,0.838199,-0.035638,0.008003,24.999281,0.000550,0.000018,0.000006,1.570833,0.000003,-0.000000,0.000001,-0.000000,0.000000,0.000000,0.002670,-0.000156,-0.125509,-0.063166,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102679,3,0
40000,0.000193,1.079804,-0.038329,0.009990,24.999235,0.000487,0.000010,0.000013,1.570845,0.000005,-0.000000,0.000002,-0.000000,0.000000,0.000000,0.000451,-0.000228,-0.054490,-0.015271,0.923811,0.923811,1.059385,1.002870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046101,3,0
50000,0.000272,1.319461,-0.037804,0.012096,24.999012,0.000783,0.000004,0.000020,1.570843,0.000008,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000867,-0.000314,-0.077427,0.003445,0.801036,0.801036,0.900822,1.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067090,3,0
60000,0.000364,1.557853,-0.044872,0.014120,24.998627,0.000533,0.000005,0.000020,1.570844,0.000014,-0.000000,0.000005,-0.000000,0.000000,0.000000,0.001849,-0.000413,-0.098414,-0.054173,0.707270,0.707270,0.783741,1.004095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086814,3,0
70000,0.000470,1.799567,-0.049970,0.016137,24.998222,0.000503,0.000005,0.000025,1.570842,0.000020,-0.000000,0.000008,-0.000000,0.000000,0.000000,0.001203,-0.000526,-0.078375,-0.044150,0.633370,0.633370,0.693801,1.004690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070103,3,0
80000,0.000590,2.045555,-0.054767,0.018246,24.997923,0.000122,0.000008,0.000020,1.570845,0.000024,-0.000000,0.000013,-0.000000,0.000000,0.000000,0.000583,-0.000653,-0.041779,-0.046272,0.573673,0.573673,0.622594,1.005263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037789,3,0
90000,0.000723,2.301660,-0.049891,0.020230,24.998755,0.000744,0.000002,0.000024,1.570859,0.000015,-0.000000,0.000006,0.000000,0.000000,0.000000,0.001151,-0.000793,0.070055,0.051758,0.524488,0.524488,0.564865,1.005804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063935,3,0
